sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,color,size,fit,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option
W-LINEN-SHIRT-WHITE,Fashion,simple,fashion,Fashion,,Ashford linen shirt White,79,,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.,28,1,White,,Relaxed,Linen,w-linen-shirt-white.webp,w-linen-shirt-white.webp,w-linen-shirt-white.webp,w-linen-shirt-white.webp,ashford-linen-shirt-white,,,
W-LINEN-SHIRT-IVORY,Fashion,simple,fashion,Fashion,,Ashford linen shirt Ivory,79,,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.,17,1,Ivory,,Relaxed,Linen,w-linen-shirt-ivory.webp,w-linen-shirt-ivory.webp,w-linen-shirt-ivory.webp,w-linen-shirt-ivory.webp,ashford-linen-shirt-ivory,,,
W-LINEN-SHIRT-BLUE-LIGHT,Fashion,simple,fashion,Fashion,,Ashford linen shirt Blue Light,79,,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.,33,1,Blue Light,,Relaxed,Linen,w-linen-shirt-blue-light.webp,w-linen-shirt-blue-light.webp,w-linen-shirt-blue-light.webp,w-linen-shirt-blue-light.webp,ashford-linen-shirt-blue-light,,,
W-LINEN-SHIRT,Fashion,configurable,fashion,Fashion,Women/Tops & Blouses,Ashford linen shirt,79,,1,4,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.,0,1,,,Relaxed,Linen,w-linen-shirt-white.webp,w-linen-shirt-white.webp,w-linen-shirt-white.webp,w-linen-shirt-white.webp,ashford-linen-shirt,W-LINEN-SHIRT-WHITE,color,White
,,,,,,,,,,,,,,,,,,,,,,,,,,W-LINEN-SHIRT-IVORY,color,Ivory
,,,,,,,,,,,,,,,,,,,,,,,,,,W-LINEN-SHIRT-BLUE-LIGHT,color,Blue Light
,,,,Fashion,Women/New Arrivals,,,,,,,,,,,,,,,,,,,,,,,
W-SILK-BLOUSE-IVORY,Fashion,simple,fashion,Fashion,,Meridian silk blouse Ivory,129,,1,1,2,1,A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose.,A fluid silk blouse with a concealed placket and a slightly dropped shoulder.,11,1,Ivory,,Regular,Silk,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,w-silk-blouse-ivory.webp,meridian-silk-blouse-ivory,,,
W-SILK-BLOUSE-BLACK,Fashion,simple,fashion,Fashion,,Meridian silk blouse Black,129,,1,1,2,1,A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose.,A fluid silk blouse with a concealed placket and a slightly dropped shoulder.,12,1,Black,,Regular,Silk,w-silk-blouse-black.webp,w-silk-blouse-black.webp,w-silk-blouse-black.webp,w-silk-blouse-black.webp,meridian-silk-blouse-black,,,
W-SILK-BLOUSE-SALMON,Fashion,simple,fashion,Fashion,,Meridian silk blouse Salmon,129,,1,1,2,1,A fluid silk blouse with a concealed placket and a slightly dropped shoulder. Wear it tucked or loose.,A fluid silk blouse with a concealed placket and a slightly dropped shoulder.,60,1,Salmon,,Regular,Silk,w-silk-blouse-salmon.webp,w-silk-blouse-salmon.webp,w-silk-blouse-salmon.webp,w-silk-blouse-salmon.webp,meridian-silk-blouse-salmon,,,
