sku,store_code,nickname,title,detail,quality,value,price,created_at
W-LINEN-SHIRT,fashion,Ada,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-01-10 10:00:00
W-WRAP-TOP,fashion,Dev,Solid basics,Does the job and looks good. Shipping was quick.,4,4,4,2026-04-10 10:00:00
W-WRAP-TOP,fashion,Elena,My new favourite,"Comfortable, light and it goes with everything I own.",5,5,5,2026-04-11 10:00:00
W-STRAIGHT-JEAN,fashion,Greta,"Good, not perfect","Nice cut and colour. The sizing runs a little large, so size down.",4,4,4,2026-01-10 10:00:00
W-LINEN-DRESS,fashion,Jonas,My new favourite,"Comfortable, light and it goes with everything I own.",5,5,5,2026-04-10 10:00:00
W-LINEN-DRESS,fashion,Kira,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-04-11 10:00:00
W-PLEAT-SKIRT,fashion,Maya,Packed it for three weeks,Came out of the bag ready to wear every time. Would buy again.,5,4,5,2026-01-10 10:00:00
M-OXFORD-SHIRT,fashion,Ada,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-04-10 10:00:00
M-OXFORD-SHIRT,fashion,Ben,"Good, not perfect","Nice cut and colour. The sizing runs a little large, so size down.",4,4,4,2026-04-11 10:00:00
M-CREW-TEE,fashion,Dev,Solid basics,Does the job and looks good. Shipping was quick.,4,4,4,2026-01-10 10:00:00
M-CARDIGAN,fashion,Greta,"Good, not perfect","Nice cut and colour. The sizing runs a little large, so size down.",4,4,4,2026-04-10 10:00:00
M-CARDIGAN,fashion,Hugo,Packed it for three weeks,Came out of the bag ready to wear every time. Would buy again.,5,4,5,2026-04-11 10:00:00
M-SELVEDGE-JEAN,fashion,Jonas,My new favourite,"Comfortable, light and it goes with everything I own.",5,5,5,2026-01-10 10:00:00
M-LINEN-BLAZER,fashion,Maya,Packed it for three weeks,Came out of the bag ready to wear every time. Would buy again.,5,4,5,2026-04-10 10:00:00
M-LINEN-BLAZER,fashion,Noor,Solid basics,Does the job and looks good. Shipping was quick.,4,4,4,2026-04-11 10:00:00
A-ROUND-SUN,fashion,Ada,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-01-10 10:00:00
A-READING,fashion,Dev,Solid basics,Does the job and looks good. Shipping was quick.,4,4,4,2026-04-10 10:00:00
A-READING,fashion,Elena,My new favourite,"Comfortable, light and it goes with everything I own.",5,5,5,2026-04-11 10:00:00
A-HOOP-EAR,fashion,Greta,"Good, not perfect","Nice cut and colour. The sizing runs a little large, so size down.",4,4,4,2026-01-10 10:00:00
A-CANVAS-SNEAKER,fashion,Jonas,My new favourite,"Comfortable, light and it goes with everything I own.",5,5,5,2026-04-10 10:00:00
A-CANVAS-SNEAKER,fashion,Kira,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-04-11 10:00:00
A-CHELSEA,fashion,Maya,Packed it for three weeks,Came out of the bag ready to wear every time. Would buy again.,5,4,5,2026-01-10 10:00:00
A-TOTE,fashion,Ada,Exactly as pictured,"Fits true to size and the fabric feels expensive. Washed twice, no change.",5,5,4,2026-04-10 10:00:00
A-TOTE,fashion,Ben,"Good, not perfect","Nice cut and colour. The sizing runs a little large, so size down.",4,4,4,2026-04-11 10:00:00
