root,path,name,is_active,include_in_menu,is_anchor,position,display_mode,landing_page,image,description,meta_title,meta_description
Fashion,,Fashion,1,1,1,,,,,Travel-wear and lifestyle pieces for the journey.,,
Fashion,women,Women,1,1,1,2,PAGE,category-landing-women,,,,
Fashion,women/new-arrivals,New Arrivals,1,1,1,1,PRODUCTS,,plp-w-newarrivals_1.webp,,,
Fashion,women/tops-blouses,Tops & Blouses,1,1,1,2,PRODUCTS,,plp-w-blouses.webp,,,
Fashion,women/pants-denim,Pants & Denim,1,1,1,3,PRODUCTS,,,,,
Fashion,women/dresses-skirts,Dresses & Skirts,1,1,1,4,PRODUCTS,,,,,
Fashion,men,Men,1,1,1,3,PAGE,category-landing-men,,,,
Fashion,men/new-arrivals,New Arrivals,1,1,1,1,PRODUCTS,,plp-m-newarrivals.webp,,,
Fashion,men/shirts,Shirts,1,1,1,2,PRODUCTS,,,,,
Fashion,men/tees-knits-and-polos,"Tees, Knits and Polos",1,1,1,3,PRODUCTS,,,,,
Fashion,men/pants-denim,Pants & Denim,1,1,1,4,PRODUCTS,,,,,
Fashion,men/blazers,Blazers,1,1,1,5,PRODUCTS,,,,,
Fashion,accessories,Accessories,1,1,1,4,PAGE,category-landing-accessories,,,,
Fashion,accessories/eyewear,Eyewear,1,1,1,1,PRODUCTS,,plp-eye.webp,,,
Fashion,accessories/jewelry,Jewelry,1,1,1,2,PRODUCTS,,,,,
Fashion,accessories/shoes,Shoes,1,1,1,3,PRODUCTS,,plp-shoes.webp,,,
Fashion,accessories/bags-luggage,Bags & Luggage,1,1,1,4,PRODUCTS,,,,,
Fashion,sale,Sale,1,1,1,6,PRODUCTS,,,,,
