sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,sport,size,color,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
S-ROAD-SHOE-BLUE,Sports,simple,sports,Sports,,Road running shoe Blue,140,,1,1,2,0.8,"A daily trainer with a 32 mm stack, a nylon plate and a wide toe box. Soft enough for easy days, quick enough for tempo. Expect 700 km before the foam gives up.","A daily trainer with a 32 mm stack, a nylon plate and a wide toe box.",54,1,Running,,Blue,Recycled polyester,s-road-shoe-blue.webp,s-road-shoe-blue.webp,s-road-shoe-blue.webp,s-road-shoe-blue.webp,road-running-shoe-blue,,,,,,
S-ROAD-SHOE-BLACK,Sports,simple,sports,Sports,,Road running shoe Black,140,,1,1,2,0.8,"A daily trainer with a 32 mm stack, a nylon plate and a wide toe box. Soft enough for easy days, quick enough for tempo. Expect 700 km before the foam gives up.","A daily trainer with a 32 mm stack, a nylon plate and a wide toe box.",48,1,Running,,Black,Recycled polyester,s-road-shoe-black.webp,s-road-shoe-black.webp,s-road-shoe-black.webp,s-road-shoe-black.webp,road-running-shoe-black,,,,,,
S-ROAD-SHOE-ORANGE,Sports,simple,sports,Sports,,Road running shoe Orange,140,,1,1,2,0.8,"A daily trainer with a 32 mm stack, a nylon plate and a wide toe box. Soft enough for easy days, quick enough for tempo. Expect 700 km before the foam gives up.","A daily trainer with a 32 mm stack, a nylon plate and a wide toe box.",48,1,Running,,Orange,Recycled polyester,s-road-shoe-orange.webp,s-road-shoe-orange.webp,s-road-shoe-orange.webp,s-road-shoe-orange.webp,road-running-shoe-orange,,,,,,
S-ROAD-SHOE,Sports,configurable,sports,Sports,Running,Road running shoe,140,,1,4,2,0.8,"A daily trainer with a 32 mm stack, a nylon plate and a wide toe box. Soft enough for easy days, quick enough for tempo. Expect 700 km before the foam gives up.","A daily trainer with a 32 mm stack, a nylon plate and a wide toe box.",0,1,Running,,,Recycled polyester,s-road-shoe-blue.webp,s-road-shoe-blue.webp,s-road-shoe-blue.webp,s-road-shoe-blue.webp,road-running-shoe,S-ROAD-SHOE-BLUE,color,Blue,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-ROAD-SHOE-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-ROAD-SHOE-ORANGE,color,Orange,,,
S-TRAIL-SHOE-GREEN,Sports,simple,sports,Sports,,Trail running shoe Green,155,,1,1,2,0.8,"Five millimetre lugs, a rock plate and a gaiter attachment. Grip in mud, protection on rocks, and a fit that stays put on descents. Drains fast after a river.","Five millimetre lugs, a rock plate and a gaiter attachment.",36,1,Running|Hiking,,Green,Recycled polyester,s-trail-shoe-green.webp,s-trail-shoe-green.webp,s-trail-shoe-green.webp,s-trail-shoe-green.webp,trail-running-shoe-green,,,,,,
S-TRAIL-SHOE-BLACK,Sports,simple,sports,Sports,,Trail running shoe Black,155,,1,1,2,0.8,"Five millimetre lugs, a rock plate and a gaiter attachment. Grip in mud, protection on rocks, and a fit that stays put on descents. Drains fast after a river.","Five millimetre lugs, a rock plate and a gaiter attachment.",58,1,Running|Hiking,,Black,Recycled polyester,s-trail-shoe-black.webp,s-trail-shoe-black.webp,s-trail-shoe-black.webp,s-trail-shoe-black.webp,trail-running-shoe-black,,,,,,
S-TRAIL-SHOE,Sports,configurable,sports,Sports,Running,Trail running shoe,155,,1,4,2,0.8,"Five millimetre lugs, a rock plate and a gaiter attachment. Grip in mud, protection on rocks, and a fit that stays put on descents. Drains fast after a river.","Five millimetre lugs, a rock plate and a gaiter attachment.",0,1,Running|Hiking,,,Recycled polyester,s-trail-shoe-green.webp,s-trail-shoe-green.webp,s-trail-shoe-green.webp,s-trail-shoe-green.webp,trail-running-shoe,S-TRAIL-SHOE-GREEN,color,Green,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-TRAIL-SHOE-BLACK,color,Black,,,
,,,,Sports,Hiking,,,,,,,,,,,,,,,,,,,,,,,,,,
S-RACE-SHOE-38,Sports,simple,sports,Sports,,Race day shoe 38,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",9,1,Running,38,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-38,,,,,,
S-RACE-SHOE-39,Sports,simple,sports,Sports,,Race day shoe 39,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",27,1,Running,39,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-39,,,,,,
S-RACE-SHOE-40,Sports,simple,sports,Sports,,Race day shoe 40,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",51,1,Running,40,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-40,,,,,,
S-RACE-SHOE-41,Sports,simple,sports,Sports,,Race day shoe 41,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",44,1,Running,41,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-41,,,,,,
S-RACE-SHOE-42,Sports,simple,sports,Sports,,Race day shoe 42,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",18,1,Running,42,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-42,,,,,,
S-RACE-SHOE-43,Sports,simple,sports,Sports,,Race day shoe 43,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",31,1,Running,43,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-43,,,,,,
S-RACE-SHOE-44,Sports,simple,sports,Sports,,Race day shoe 44,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",28,1,Running,44,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-44,,,,,,
S-RACE-SHOE-45,Sports,simple,sports,Sports,,Race day shoe 45,220,,1,1,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",14,1,Running,45,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe-45,,,,,,
S-RACE-SHOE,Sports,configurable,sports,Sports,Running,Race day shoe,220,,1,4,2,0.8,"A carbon plate, a light foam and no compromise. For race day only. Four millimetre drop, 200 g in a size 42, and a plate that gives back what you put in. Save it for the start line.","A carbon plate, a light foam and no compromise.",0,1,Running,,Yellow,Recycled polyester,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,s-race-shoe.webp,race-day-shoe,S-RACE-SHOE-38,size,38,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-39,size,39,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-40,size,40,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-41,size,41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-42,size,42,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-43,size,43,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-44,size,44,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,S-RACE-SHOE-45,size,45,,,
S-RUN-JACKET-YELLOW,Sports,simple,sports,Sports,,Running shell Yellow,130,,1,1,2,0.8,A 90 g waterproof shell that packs into its own pocket. Taped seams and a hood that stays up in wind. It packs to the size of a fist.,A 90 g waterproof shell that packs into its own pocket.,34,1,Running|Cycling,,Yellow,Recycled polyester,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,s-run-jacket-yellow.webp,running-shell-yellow,,,,,,
