path,value,scope,scope_code
web/url/use_store,1,default,
customer/account_share/scope,0,default,
catalog/frontend/list_mode,grid,default,
catalog/frontend/grid_per_page,12,default,
catalog/frontend/grid_per_page_values,"12,24,36",default,
catalog/frontend/enable_addtocart_in_product_listings,0,default,
catalog/recently_products/enabled_product_compare,0,default,
catalog/recently_products/enabled_recently_viewed,0,default,
catalog/advanced_search/enabled,0,default,
configswatches/general/enabled,1,default,
configswatches/general/swatch_attributes,"{{attribute_ids:color,size}}",default,
configswatches/general/product_list_attribute,{{attribute_id:color}},default,
design/package/name,maho,default,
design/head/demonotice,1,default,
general/region/display_all,1,default,
general/region/state_required,"AT,CA,CH,DE,EE,ES,FI,FR,LT,LV,RO,US",default,
advanced/modules_disable_output/Mage_Backup,1,default,
revocation/general/enabled,1,default,
checkout/options/redirect_register,0,default,
design/theme/default,,websites,hub
general/store_information/name,Maho Demo,websites,hub
design/head/default_title,Maho Demo,websites,hub
design/header/logo_alt,Maho Demo,websites,hub
design/footer/copyright,&copy; Maho Demo. All rights reserved.,websites,hub
trans_email/ident_general/name,Maho Demo,websites,hub
trans_email/ident_sales/name,Maho Demo,websites,hub
trans_email/ident_support/name,Maho Demo,websites,hub
web/default/cms_home_page,home,stores,hub
sitemap/file/name,sitemap-hub.xml,stores,hub
design/theme/default,fashion,websites,fashion
general/store_information/name,Maison Maho,websites,fashion
design/head/default_title,Maison Maho,websites,fashion
design/header/logo_alt,Maison Maho,websites,fashion
design/footer/copyright,&copy; Maison Maho. All rights reserved.,websites,fashion
trans_email/ident_general/name,Maison Maho,websites,fashion
trans_email/ident_sales/name,Maison Maho,websites,fashion
trans_email/ident_support/name,Maison Maho,websites,fashion
web/default/cms_home_page,home,stores,fashion
sitemap/file/name,sitemap-fashion.xml,stores,fashion
design/theme/default,electronics,websites,electronics
general/store_information/name,Voltline,websites,electronics
design/head/default_title,Voltline,websites,electronics
design/header/logo_alt,Voltline,websites,electronics
design/footer/copyright,&copy; Voltline. All rights reserved.,websites,electronics
trans_email/ident_general/name,Voltline,websites,electronics
trans_email/ident_sales/name,Voltline,websites,electronics
