code,label,input,scope,required,filterable,filterable_in_search,searchable,comparable,visible_on_front,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,default_value,sets,group,sort_order,swatch_attribute,store_code
color,Color,select,global,,1,1,,1,1,1,,1,,,*,General,10,1,
color,Couleur,,,,,,,,,,,,,,,,,,default-fr
color,Farbe,,,,,,,,,,,,,,,,,,default-de
color,Colore,,,,,,,,,,,,,,,,,,default-it
size,Size,select,global,,1,1,,1,1,1,,1,,,Fashion|Sports|Kids|Jewelry|Home|Garden,General,20,1,
size,Taille,,,,,,,,,,,,,,,,,,default-fr
size,Größe,,,,,,,,,,,,,,,,,,default-de
size,Taglia,,,,,,,,,,,,,,,,,,default-it
fit,Fit,select,global,,1,,,,1,,,,,,Fashion,General,30,,
fit,Coupe,,,,,,,,,,,,,,,,,,default-fr
fit,Passform,,,,,,,,,,,,,,,,,,default-de
fit,Vestibilità,,,,,,,,,,,,,,,,,,default-it
material,Material,select,global,,1,,,1,1,,,1,,,Fashion|Jewelry|Home|Sports|Kids|Garden,General,40,,
material,Matière,,,,,,,,,,,,,,,,,,default-fr
material,Material,,,,,,,,,,,,,,,,,,default-de
material,Materiale,,,,,,,,,,,,,,,,,,default-it
diet,Diet,multiselect,global,,1,1,,,1,,,,,,Food,General,50,,
diet,Régime,,,,,,,,,,,,,,,,,,default-fr
diet,Ernährung,,,,,,,,,,,,,,,,,,default-de
diet,Dieta,,,,,,,,,,,,,,,,,,default-it
origin,Origin,select,global,,1,,,1,1,,,,,,Food,General,60,,
origin,Origine,,,,,,,,,,,,,,,,,,default-fr
origin,Herkunft,,,,,,,,,,,,,,,,,,default-de
origin,Origine,,,,,,,,,,,,,,,,,,default-it
pack_size,Pack size,select,global,,1,,,,1,,,1,,,Food,General,70,,
pack_size,Format,,,,,,,,,,,,,,,,,,default-fr
pack_size,Packungsgröße,,,,,,,,,,,,,,,,,,default-de
pack_size,Formato,,,,,,,,,,,,,,,,,,default-it
brand,Brand,select,global,,1,1,1,1,1,1,,,,,Electronics,General,50,,
brand,Marque,,,,,,,,,,,,,,,,,,default-fr
brand,Marke,,,,,,,,,,,,,,,,,,default-de
brand,Marca,,,,,,,,,,,,,,,,,,default-it
connectivity,Connectivity,multiselect,global,,1,,,1,1,,,,,,Electronics,General,60,,
connectivity,Connectivité,,,,,,,,,,,,,,,,,,default-fr
connectivity,Konnektivität,,,,,,,,,,,,,,,,,,default-de
connectivity,Connettività,,,,,,,,,,,,,,,,,,default-it
storage,Storage,select,global,,1,,,1,1,,,1,,,Electronics,General,70,,
storage,Stockage,,,,,,,,,,,,,,,,,,default-fr
storage,Speicher,,,,,,,,,,,,,,,,,,default-de
storage,Memoria,,,,,,,,,,,,,,,,,,default-it
format,Format,select,global,,1,,,1,1,,,1,,,Books,General,50,,
format,Format,,,,,,,,,,,,,,,,,,default-fr
format,Format,,,,,,,,,,,,,,,,,,default-de
format,Formato,,,,,,,,,,,,,,,,,,default-it
genre,Genre,multiselect,global,,1,1,,,1,,,,,,Books,General,60,,
genre,Genre,,,,,,,,,,,,,,,,,,default-fr
genre,Genre,,,,,,,,,,,,,,,,,,default-de
genre,Genere,,,,,,,,,,,,,,,,,,default-it
author,Author,text,global,,,,1,,1,1,,,,,Books,General,70,,
author,Auteur,,,,,,,,,,,,,,,,,,default-fr
author,Autor,,,,,,,,,,,,,,,,,,default-de
author,Autore,,,,,,,,,,,,,,,,,,default-it
pages,Pages,text,global,,,,,1,1,,,,,,Books,General,80,,
pages,Pages,,,,,,,,,,,,,,,,,,default-fr
pages,Seiten,,,,,,,,,,,,,,,,,,default-de
pages,Pagine,,,,,,,,,,,,,,,,,,default-it
stone,Stone,select,global,,1,1,,1,1,,,,,,Jewelry,General,50,,
stone,Pierre,,,,,,,,,,,,,,,,,,default-fr
stone,Stein,,,,,,,,,,,,,,,,,,default-de
stone,Pietra,,,,,,,,,,,,,,,,,,default-it
skin_type,Skin type,multiselect,global,,1,1,,,1,,,,,,Beauty,General,50,,
skin_type,Type de peau,,,,,,,,,,,,,,,,,,default-fr
skin_type,Hauttyp,,,,,,,,,,,,,,,,,,default-de
skin_type,Tipo di pelle,,,,,,,,,,,,,,,,,,default-it
volume,Volume,select,global,,1,,,1,1,,,1,,,Beauty,General,60,,
volume,Contenance,,,,,,,,,,,,,,,,,,default-fr
volume,Inhalt,,,,,,,,,,,,,,,,,,default-de
volume,Volume,,,,,,,,,,,,,,,,,,default-it
scent,Scent,select,global,,1,,,,1,,,1,,,Beauty,General,70,,
scent,Parfum,,,,,,,,,,,,,,,,,,default-fr
scent,Duft,,,,,,,,,,,,,,,,,,default-de
scent,Profumo,,,,,,,,,,,,,,,,,,default-it
room,Room,multiselect,global,,1,1,,,1,,,,,,Home,General,50,,
room,Pièce,,,,,,,,,,,,,,,,,,default-fr
room,Raum,,,,,,,,,,,,,,,,,,default-de
room,Stanza,,,,,,,,,,,,,,,,,,default-it
dimensions,Dimensions,text,global,,,,,1,1,,,,,,Home|Garden,General,60,,
dimensions,Dimensions,,,,,,,,,,,,,,,,,,default-fr
dimensions,Maße,,,,,,,,,,,,,,,,,,default-de
dimensions,Dimensioni,,,,,,,,,,,,,,,,,,default-it
sport,Sport,multiselect,global,,1,1,,,1,1,,,,,Sports,General,50,,
sport,Sport,,,,,,,,,,,,,,,,,,default-fr
sport,Sportart,,,,,,,,,,,,,,,,,,default-de
sport,Sport,,,,,,,,,,,,,,,,,,default-it
age_range,Age,select,global,,1,1,,,1,1,,,,,Kids,General,50,,
age_range,Âge,,,,,,,,,,,,,,,,,,default-fr
age_range,Alter,,,,,,,,,,,,,,,,,,default-de
age_range,Età,,,,,,,,,,,,,,,,,,default-it
light,Light,select,global,,1,1,,,1,1,,,,,Garden,General,50,,
light,Lumière,,,,,,,,,,,,,,,,,,default-fr
light,Licht,,,,,,,,,,,,,,,,,,default-de
light,Luce,,,,,,,,,,,,,,,,,,default-it
hardiness,Hardiness,select,global,,1,,,1,1,,,,,,Garden,General,60,,
hardiness,Rusticité,,,,,,,,,,,,,,,,,,default-fr
hardiness,Winterhärte,,,,,,,,,,,,,,,,,,default-de
hardiness,Rusticità,,,,,,,,,,,,,,,,,,default-it
pot_size,Pot size,select,global,,1,,,,1,,,1,,,Garden,General,70,,
pot_size,Taille du pot,,,,,,,,,,,,,,,,,,default-fr
pot_size,Topfgröße,,,,,,,,,,,,,,,,,,default-de
pot_size,Dimensione del vaso,,,,,,,,,,,,,,,,,,default-it
