sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,format,genre,author,pages,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
B-SALT-HOUSES-HARDCOVER,Books,simple,books,Books,,The Salt Houses Hardcover,18,,1,1,2,0.4,"Three sisters return to a fishing village to sell the family house and find the tide has other plans. A novel about what we keep. Three hundred and twenty pages, clothbound with a ribbon marker. The first novel of the year to make our staff argue.",Three sisters return to a fishing village to sell the family house and find the tide has other plans.,27,1,Hardcover,Fiction,Mara Lindqvist,336,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,the-salt-houses-hardcover,,,,,,
B-SALT-HOUSES-PAPERBACK,Books,simple,books,Books,,The Salt Houses Paperback,18,,1,1,2,0.4,"Three sisters return to a fishing village to sell the family house and find the tide has other plans. A novel about what we keep. Three hundred and twenty pages, clothbound with a ribbon marker. The first novel of the year to make our staff argue.",Three sisters return to a fishing village to sell the family house and find the tide has other plans.,36,1,Paperback,Fiction,Mara Lindqvist,336,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,the-salt-houses-paperback,,,,,,
B-SALT-HOUSES-E-BOOK,Books,simple,books,Books,,The Salt Houses E-book,18,,1,1,2,0.4,"Three sisters return to a fishing village to sell the family house and find the tide has other plans. A novel about what we keep. Three hundred and twenty pages, clothbound with a ribbon marker. The first novel of the year to make our staff argue.",Three sisters return to a fishing village to sell the family house and find the tide has other plans.,49,1,E-book,Fiction,Mara Lindqvist,336,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,the-salt-houses-e-book,,,,,,
B-SALT-HOUSES,Books,configurable,books,Books,Fiction,The Salt Houses,18,,1,4,2,0.4,"Three sisters return to a fishing village to sell the family house and find the tide has other plans. A novel about what we keep. Three hundred and twenty pages, clothbound with a ribbon marker. The first novel of the year to make our staff argue.",Three sisters return to a fishing village to sell the family house and find the tide has other plans.,0,1,,Fiction,Mara Lindqvist,336,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,b-salt-houses.webp,the-salt-houses,B-SALT-HOUSES-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SALT-HOUSES-PAPERBACK,format,Paperback,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-SALT-HOUSES-E-BOOK,format,E-book,,,
B-LAST-ORCHARD-HARDCOVER,Books,simple,books,Books,,The Last Orchard Hardcover,16,,1,1,2,0.4,"A widower plants a hundred trees he will not live to see fruit. His neighbours have opinions. A short, warm book about time and stubbornness. Read it in an afternoon and think about it for a week.",A widower plants a hundred trees he will not live to see fruit.,37,1,Hardcover,Fiction,Tomas Reyes,288,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,the-last-orchard-hardcover,,,,,,
B-LAST-ORCHARD-PAPERBACK,Books,simple,books,Books,,The Last Orchard Paperback,16,,1,1,2,0.4,"A widower plants a hundred trees he will not live to see fruit. His neighbours have opinions. A short, warm book about time and stubbornness. Read it in an afternoon and think about it for a week.",A widower plants a hundred trees he will not live to see fruit.,16,1,Paperback,Fiction,Tomas Reyes,288,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,the-last-orchard-paperback,,,,,,
B-LAST-ORCHARD,Books,configurable,books,Books,Fiction,The Last Orchard,16,,1,4,2,0.4,"A widower plants a hundred trees he will not live to see fruit. His neighbours have opinions. A short, warm book about time and stubbornness. Read it in an afternoon and think about it for a week.",A widower plants a hundred trees he will not live to see fruit.,0,1,,Fiction,Tomas Reyes,288,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,b-last-orchard.webp,the-last-orchard,B-LAST-ORCHARD-HARDCOVER,format,Hardcover,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,B-LAST-ORCHARD-PAPERBACK,format,Paperback,,,
