sku,store_code,nickname,title,detail,rating,created_at
B-SALT-HOUSES,books,Ada,Could not put it down,Finished it in two nights. The recommendation was spot on.,5,2026-01-10 10:00:00
B-NORTH-LIGHT,books,Dev,"Good, not great",Well written but slow in the middle. Lovely edition though.,3,2026-04-10 10:00:00
B-NORTH-LIGHT,books,Elena,Beautiful edition,"Clothbound, good paper, lies flat. A pleasure to hold.",5,2026-04-11 10:00:00
B-COLD-HARBOUR,books,Greta,Perfect gift,Wrapped beautifully and arrived in two days.,5,2026-01-10 10:00:00
B-MIDNIGHT-TRAIN,books,Jonas,Ribbon marker,"Small thing, but the ribbon marker and the sewn binding made my week.",5,2026-04-10 10:00:00
B-MIDNIGHT-TRAIN,books,Kira,Print is small,"Fine story, but the type is small and the margins are tight.",3,2026-04-11 10:00:00
B-DEEP-TIME,books,Maya,Read it twice,The ending sent me back to page one. Rare.,5,2026-01-10 10:00:00
B-TREE-BOOK,books,Priya,Arrived with a dented corner,"Packaging was thin. The book is fine, the corner is not.",3,2026-04-10 10:00:00
B-TREE-BOOK,books,Quinn,Great translation,Reads like it was written in English. No awkward sentences.,5,2026-04-11 10:00:00
B-CITY-WATER,books,Ada,Big for the shelf,Larger format than expected. Check the dimensions.,4,2026-01-10 10:00:00
B-PLAGUE-YEAR,books,Dev,The maps alone,The endpaper maps are worth the price. The story is a bonus.,5,2026-04-10 10:00:00
B-PLAGUE-YEAR,books,Elena,Not for beginners,"Dense and rewarding, but start elsewhere if you are new to the subject.",4,2026-04-11 10:00:00
B-VEG-FIRST,books,Greta,Paperback is sturdy,"Flexible cover, opens flat, survived a beach week.",5,2026-01-10 10:00:00
B-GOODNIGHT-FOX,books,Jonas,Half the price elsewhere,"Beautiful shop, but I found the same edition cheaper.",3,2026-04-10 10:00:00
B-GOODNIGHT-FOX,books,Kira,Signed copy,I did not expect the signature on the title page. Delighted.,5,2026-04-11 10:00:00
B-DRAGON-SCHOOL,books,Maya,"Slow start, strong finish",Give it fifty pages. Then you will not stop.,4,2026-01-10 10:00:00
B-POEMS-SEA,books,Priya,Kids loved it,Read aloud three nights running. The pictures hold up to a torch.,5,2026-04-10 10:00:00
B-POEMS-SEA,books,Quinn,Index is excellent,"For a reference book, the index is what matters, and this one is thorough.",5,2026-04-11 10:00:00
B-CRIME-SET,books,Ada,Smells like a bookshop,"Uncoated paper, sewn spine. Old fashioned in the best way.",5,2026-01-10 10:00:00
B-TOTE,books,Dev,Too short,"Loved every page, wanted a hundred more.",4,2026-04-10 10:00:00
B-TOTE,books,Elena,Second volume please,Ends on a cliff. Hoping the next one is on its way.,4,2026-04-11 10:00:00
B-GIFT-CARD,books,Greta,Good notes,The introduction and notes add context without getting in the way.,5,2026-01-10 10:00:00
