sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,light,hardiness,pot_size,material,dimensions,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
N-MONSTERA-17-CM,Garden,simple,garden,Garden,,Monstera deliciosa 17 cm,32,,1,1,2,2,"The split-leaf climber. Bright indirect light, water when the top is dry. Delivered in a 19 cm pot at about 70 cm tall, with a moss pole. It grows a leaf a month in summer.",The split-leaf climber.,12,1,Indoor bright,Indoor,17 cm,Terracotta,,n-monstera.webp,n-monstera.webp,n-monstera.webp,n-monstera.webp,monstera-deliciosa-17-cm,,,,,,
N-MONSTERA-21-CM,Garden,simple,garden,Garden,,Monstera deliciosa 21 cm,32,,1,1,2,2,"The split-leaf climber. Bright indirect light, water when the top is dry. Delivered in a 19 cm pot at about 70 cm tall, with a moss pole. It grows a leaf a month in summer.",The split-leaf climber.,17,1,Indoor bright,Indoor,21 cm,Terracotta,,n-monstera.webp,n-monstera.webp,n-monstera.webp,n-monstera.webp,monstera-deliciosa-21-cm,,,,,,
N-MONSTERA-30-CM,Garden,simple,garden,Garden,,Monstera deliciosa 30 cm,32,,1,1,2,2,"The split-leaf climber. Bright indirect light, water when the top is dry. Delivered in a 19 cm pot at about 70 cm tall, with a moss pole. It grows a leaf a month in summer.",The split-leaf climber.,29,1,Indoor bright,Indoor,30 cm,Terracotta,,n-monstera.webp,n-monstera.webp,n-monstera.webp,n-monstera.webp,monstera-deliciosa-30-cm,,,,,,
N-MONSTERA,Garden,configurable,garden,Garden,Houseplants,Monstera deliciosa,32,,1,4,2,2,"The split-leaf climber. Bright indirect light, water when the top is dry. Delivered in a 19 cm pot at about 70 cm tall, with a moss pole. It grows a leaf a month in summer.",The split-leaf climber.,0,1,Indoor bright,Indoor,,Terracotta,,n-monstera.webp,n-monstera.webp,n-monstera.webp,n-monstera.webp,monstera-deliciosa,N-MONSTERA-17-CM,pot_size,17 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-MONSTERA-21-CM,pot_size,21 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-MONSTERA-30-CM,pot_size,30 cm,,,
N-FERN-12-CM,Garden,simple,garden,Garden,,Boston fern 12 cm,22,,1,1,2,2,"A full fern for a bathroom or a north window. Keep it moist. A 17 cm pot with a full, arching crown. Mist it in a dry room and it stays green.",A full fern for a bathroom or a north window.,47,1,Indoor low,Indoor,12 cm,Terracotta,,n-fern.webp,n-fern.webp,n-fern.webp,n-fern.webp,boston-fern-12-cm,,,,,,
N-FERN-17-CM,Garden,simple,garden,Garden,,Boston fern 17 cm,22,,1,1,2,2,"A full fern for a bathroom or a north window. Keep it moist. A 17 cm pot with a full, arching crown. Mist it in a dry room and it stays green.",A full fern for a bathroom or a north window.,34,1,Indoor low,Indoor,17 cm,Terracotta,,n-fern.webp,n-fern.webp,n-fern.webp,n-fern.webp,boston-fern-17-cm,,,,,,
N-FERN,Garden,configurable,garden,Garden,Houseplants,Boston fern,22,,1,4,2,2,"A full fern for a bathroom or a north window. Keep it moist. A 17 cm pot with a full, arching crown. Mist it in a dry room and it stays green.",A full fern for a bathroom or a north window.,0,1,Indoor low,Indoor,,Terracotta,,n-fern.webp,n-fern.webp,n-fern.webp,n-fern.webp,boston-fern,N-FERN-12-CM,pot_size,12 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-FERN-17-CM,pot_size,17 cm,,,
N-PILEA,Garden,simple,garden,Garden,Houseplants,Pilea,16,,1,4,2,2,"The pancake plant. Easy, and it makes babies to give away. A 12 cm pot with a healthy young plant. Turn it weekly so it grows straight.",The pancake plant.,23,1,Indoor bright,Indoor,12 cm,Terracotta,,n-pilea.webp,n-pilea.webp,n-pilea.webp,n-pilea.webp,pilea,,,,,,
N-SNAKE-PLANT-12-CM,Garden,simple,garden,Garden,,Snake plant 12 cm,24,,1,1,2,2,Survives neglect and low light. Water once a month. A 14 cm pot at about 50 cm tall. It tolerates a dark hallway and forgets you were away.,Survives neglect and low light.,47,1,Indoor low,Indoor,12 cm,Terracotta,,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,snake-plant-12-cm,,,,,,
N-SNAKE-PLANT-17-CM,Garden,simple,garden,Garden,,Snake plant 17 cm,24,,1,1,2,2,Survives neglect and low light. Water once a month. A 14 cm pot at about 50 cm tall. It tolerates a dark hallway and forgets you were away.,Survives neglect and low light.,42,1,Indoor low,Indoor,17 cm,Terracotta,,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,snake-plant-17-cm,,,,,,
N-SNAKE-PLANT-21-CM,Garden,simple,garden,Garden,,Snake plant 21 cm,24,,1,1,2,2,Survives neglect and low light. Water once a month. A 14 cm pot at about 50 cm tall. It tolerates a dark hallway and forgets you were away.,Survives neglect and low light.,28,1,Indoor low,Indoor,21 cm,Terracotta,,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,snake-plant-21-cm,,,,,,
N-SNAKE-PLANT,Garden,configurable,garden,Garden,Houseplants,Snake plant,24,,1,4,2,2,Survives neglect and low light. Water once a month. A 14 cm pot at about 50 cm tall. It tolerates a dark hallway and forgets you were away.,Survives neglect and low light.,0,1,Indoor low,Indoor,,Terracotta,,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,n-snake-plant.webp,snake-plant,N-SNAKE-PLANT-12-CM,pot_size,12 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-SNAKE-PLANT-17-CM,pot_size,17 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-SNAKE-PLANT-21-CM,pot_size,21 cm,,,
N-FICUS-21-CM,Garden,simple,garden,Garden,,Fiddle leaf fig 21 cm,48,,1,1,2,2,A statement tree for a bright corner. Do not move it once it is happy. A 24 cm pot at about 120 cm tall. It needs a bright spot and a steady routine.,A statement tree for a bright corner.,53,1,Indoor bright,Indoor,21 cm,Terracotta,,n-ficus.webp,n-ficus.webp,n-ficus.webp,n-ficus.webp,fiddle-leaf-fig-21-cm,,,,,,
N-FICUS-30-CM,Garden,simple,garden,Garden,,Fiddle leaf fig 30 cm,48,,1,1,2,2,A statement tree for a bright corner. Do not move it once it is happy. A 24 cm pot at about 120 cm tall. It needs a bright spot and a steady routine.,A statement tree for a bright corner.,14,1,Indoor bright,Indoor,30 cm,Terracotta,,n-ficus.webp,n-ficus.webp,n-ficus.webp,n-ficus.webp,fiddle-leaf-fig-30-cm,,,,,,
N-FICUS,Garden,configurable,garden,Garden,Houseplants,Fiddle leaf fig,48,,1,4,2,2,A statement tree for a bright corner. Do not move it once it is happy. A 24 cm pot at about 120 cm tall. It needs a bright spot and a steady routine.,A statement tree for a bright corner.,0,1,Indoor bright,Indoor,,Terracotta,,n-ficus.webp,n-ficus.webp,n-ficus.webp,n-ficus.webp,fiddle-leaf-fig,N-FICUS-21-CM,pot_size,21 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-FICUS-30-CM,pot_size,30 cm,,,
N-POTHOS,Garden,simple,garden,Garden,Houseplants,Golden pothos,14,,1,4,2,2,"A trailing vine for a shelf. Nearly impossible to kill. A 12 cm pot with trails of about 40 cm. It roots in water, so one plant becomes many.",A trailing vine for a shelf.,46,1,Indoor low,Indoor,12 cm,Terracotta,,n-pothos.webp,n-pothos.webp,n-pothos.webp,n-pothos.webp,golden-pothos,,,,,,
N-CALATHEA,Garden,simple,garden,Garden,Houseplants,Calathea,26,,1,4,2,2,Patterned leaves that fold at night. Likes humidity and soft water. A 14 cm pot with fresh growth. Rainwater or filtered water keeps the leaf edges brown-free.,Patterned leaves that fold at night.,44,1,Indoor low,Indoor,17 cm,Terracotta,,n-calathea.webp,n-calathea.webp,n-calathea.webp,n-calathea.webp,calathea,,,,,,
N-OLIVE-INDOOR-17-CM,Garden,simple,garden,Garden,,Olive tree 17 cm,45,,1,1,2,2,"A young olive for a sunny window or a sheltered balcony. A 19 cm pot at about 80 cm tall, with a woody trunk. Water when the top half of the compost is dry.",A young olive for a sunny window or a sheltered balcony.,56,1,Full sun,Half hardy,17 cm,Terracotta,,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,olive-tree-17-cm,,,,,,
N-OLIVE-INDOOR-21-CM,Garden,simple,garden,Garden,,Olive tree 21 cm,45,,1,1,2,2,"A young olive for a sunny window or a sheltered balcony. A 19 cm pot at about 80 cm tall, with a woody trunk. Water when the top half of the compost is dry.",A young olive for a sunny window or a sheltered balcony.,15,1,Full sun,Half hardy,21 cm,Terracotta,,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,olive-tree-21-cm,,,,,,
N-OLIVE-INDOOR,Garden,configurable,garden,Garden,Houseplants,Olive tree,45,,1,4,2,2,"A young olive for a sunny window or a sheltered balcony. A 19 cm pot at about 80 cm tall, with a woody trunk. Water when the top half of the compost is dry.",A young olive for a sunny window or a sheltered balcony.,0,1,Full sun,Half hardy,,Terracotta,,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,n-olive-indoor.webp,olive-tree,N-OLIVE-INDOOR-17-CM,pot_size,17 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-OLIVE-INDOOR-21-CM,pot_size,21 cm,,,
,,,,Garden,Outdoor Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-CACTUS-SET,Garden,simple,garden,Garden,Houseplants,Cactus trio,20,,1,4,2,2,"Three small cacti in 6 cm pots. Three different shapes, sold as a set. A sunny sill and a drink once a month is all they ask.",Three small cacti in 6 cm pots.,44,1,Indoor bright,Indoor,9 cm,Terracotta,,n-cactus-set.webp,n-cactus-set.webp,n-cactus-set.webp,n-cactus-set.webp,cactus-trio,,,,,,
N-LAVENDER-9-CM,Garden,simple,garden,Garden,,Lavender 9 cm,9,,1,1,2,2,"English lavender for sun and poor soil. Bees will find it. A 2 litre pot, ready to plant. Cut it back after flowering to keep it compact.",English lavender for sun and poor soil.,17,1,Full sun,Hardy,9 cm,Terracotta,,n-lavender.webp,n-lavender.webp,n-lavender.webp,n-lavender.webp,lavender-9-cm,,,,,,
N-LAVENDER-17-CM,Garden,simple,garden,Garden,,Lavender 17 cm,9,,1,1,2,2,"English lavender for sun and poor soil. Bees will find it. A 2 litre pot, ready to plant. Cut it back after flowering to keep it compact.",English lavender for sun and poor soil.,49,1,Full sun,Hardy,17 cm,Terracotta,,n-lavender.webp,n-lavender.webp,n-lavender.webp,n-lavender.webp,lavender-17-cm,,,,,,
N-LAVENDER,Garden,configurable,garden,Garden,Outdoor Plants,Lavender,9,,1,4,2,2,"English lavender for sun and poor soil. Bees will find it. A 2 litre pot, ready to plant. Cut it back after flowering to keep it compact.",English lavender for sun and poor soil.,0,1,Full sun,Hardy,,Terracotta,,n-lavender.webp,n-lavender.webp,n-lavender.webp,n-lavender.webp,lavender,N-LAVENDER-9-CM,pot_size,9 cm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-LAVENDER-17-CM,pot_size,17 cm,,,
N-ROSEMARY,Garden,simple,garden,Garden,Outdoor Plants,Rosemary,8,,1,4,2,2,Upright rosemary for a pot by the kitchen door. A 2 litre pot with a plant of about 40 cm. Snip what you need all year round.,Upright rosemary for a pot by the kitchen door.,54,1,Full sun,Hardy,12 cm,Terracotta,,n-rosemary.webp,n-rosemary.webp,n-rosemary.webp,n-rosemary.webp,rosemary,,,,,,
,,,,Garden,Seeds & Bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-HYDRANGEA-17-CM,Garden,simple,garden,Garden,,Hydrangea 17 cm,24,,1,1,2,2,"A mophead hydrangea that flowers blue in acid soil and pink in lime. A 3 litre pot, flowering from July. The colour depends on your soil, and the label explains how.",A mophead hydrangea that flowers blue in acid soil and pink in lime.,38,1,Part shade,Hardy,17 cm,Terracotta,,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,hydrangea-17-cm,,,,,,
N-HYDRANGEA-30-CM,Garden,simple,garden,Garden,,Hydrangea 30 cm,24,,1,1,2,2,"A mophead hydrangea that flowers blue in acid soil and pink in lime. A 3 litre pot, flowering from July. The colour depends on your soil, and the label explains how.",A mophead hydrangea that flowers blue in acid soil and pink in lime.,41,1,Part shade,Hardy,30 cm,Terracotta,,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,n-hydrangea.webp,hydrangea-30-cm,,,,,,
