sku,store_code,nickname,title,detail,rating,created_at
H-DINING-TABLE,home,Ada,Solid and beautiful,Heavier and better made than expected. The oil finish is lovely.,5,2026-01-10 10:00:00
H-BOOKCASE,home,Dev,"Good, delivery slow","Great piece, but it took six weeks. Worth the wait, just plan ahead.",4,2026-04-10 10:00:00
H-BOOKCASE,home,Elena,Room of choice delivery,Two people carried it upstairs and took the packaging. Excellent.,5,2026-04-11 10:00:00
H-BENCH,home,Greta,Cover replaced for free,"A stain that would not come out. New cover, no charge.",5,2026-01-10 10:00:00
H-SOFA-3,home,Jonas,Linen softens fast,"Crisp on day one, soft after three washes. Sleeping better.",5,2026-04-10 10:00:00
H-SOFA-3,home,Kira,Colour is true,The oatmeal is the oatmeal in the photo. No surprises.,5,2026-04-11 10:00:00
H-STOOL,home,Maya,Wobbles a little,One leg needed a shim on my old floor. Fine after that.,3,2026-01-10 10:00:00
H-LINEN-SHEETS,home,Priya,Guests ask where it is from,Every time. The answer is always this shop.,5,2026-04-10 10:00:00
H-LINEN-SHEETS,home,Quinn,Candle burns even,"No tunnelling, no soot, forty hours as promised.",5,2026-04-11 10:00:00
H-PILLOW,home,Ada,Too firm for me,"Well made sofa, but the seat is firmer than the showroom feel I wanted.",3,2026-01-10 10:00:00
H-PLATES,home,Dev,Assembled in ten minutes,Four bolts and a key. Instructions with actual words.,5,2026-04-10 10:00:00
H-PLATES,home,Elena,Mug keeps coffee hot,Thick stoneware. My coffee stays warm through a whole call.,5,2026-04-11 10:00:00
H-GLASSES,home,Greta,Rug sheds at first,"Wool fluff for two weeks, then it settled. Vacuum often at first.",4,2026-01-10 10:00:00
H-NAPKINS,home,Jonas,Fits the alcove exactly,I measured twice and it fits to the centimetre.,5,2026-04-10 10:00:00
H-NAPKINS,home,Kira,Throw is generous,Big enough for two on the sofa. Fringe has not shed.,5,2026-04-11 10:00:00
H-TABLE-LAMP,home,Maya,Paint chipped on the edge,Small chip on the frame from transit. Touch-up pot sent free.,3,2026-01-10 10:00:00
H-RATTAN-PENDANT,home,Priya,Table takes a beating,"Kids, homework, dinner. The oak just gets better.",5,2026-04-10 10:00:00
H-RATTAN-PENDANT,home,Quinn,Lamp gives a warm pool,Perfect reading light. The switch on the cord is handy.,5,2026-04-11 10:00:00
H-MIRROR,home,Ada,Smells of wood,Opened the box and the workshop came with it.,5,2026-01-10 10:00:00
H-CUSHION,home,Dev,Cushion lost its shape,Feather filling flattens. Plump it daily or choose foam.,3,2026-04-10 10:00:00
H-CUSHION,home,Elena,Vase is heavy,Stoneware with real weight. Tulips do not tip it.,5,2026-04-11 10:00:00
H-BATH-MAT,home,Greta,Worth the wait,"Eight weeks, made to order, and it shows in every joint.",5,2026-01-10 10:00:00
H-GIFT-CARD,home,Jonas,Storage inside the bench,I did not notice the lid lifts. Winter blankets live there now.,5,2026-04-10 10:00:00
H-GIFT-CARD,home,Kira,Sheets fit a deep mattress,Finally a fitted sheet that stays on the corners.,5,2026-04-11 10:00:00
