sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,room,material,color,dimensions,size,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
H-DINING-TABLE-OAK,Home,simple,home,Home,,Solid oak dining table Oak,1290,,1,1,2,3,"A 40 mm oak top on tapered legs, oiled. Seats six, eight at a squeeze. Made to order in six weeks, delivered to the room of your choice. The oil finish wipes clean and repairs with a cloth.","A 40 mm oak top on tapered legs, oiled.",44,1,Kitchen,Oak,Brown,200 x 90 x 75 cm,,h-dining-table-oak.webp,h-dining-table-oak.webp,h-dining-table-oak.webp,h-dining-table-oak.webp,solid-oak-dining-table-oak,,,,,,
H-DINING-TABLE-WALNUT,Home,simple,home,Home,,Solid oak dining table Walnut,1290,,1,1,2,3,"A 40 mm oak top on tapered legs, oiled. Seats six, eight at a squeeze. Made to order in six weeks, delivered to the room of your choice. The oil finish wipes clean and repairs with a cloth.","A 40 mm oak top on tapered legs, oiled.",45,1,Kitchen,Walnut,Brown,200 x 90 x 75 cm,,h-dining-table-walnut.webp,h-dining-table-walnut.webp,h-dining-table-walnut.webp,h-dining-table-walnut.webp,solid-oak-dining-table-walnut,,,,,,
H-DINING-TABLE,Home,configurable,home,Home,Furniture,Solid oak dining table,1290,,1,4,2,3,"A 40 mm oak top on tapered legs, oiled. Seats six, eight at a squeeze. Made to order in six weeks, delivered to the room of your choice. The oil finish wipes clean and repairs with a cloth.","A 40 mm oak top on tapered legs, oiled.",0,1,Kitchen,,Brown,200 x 90 x 75 cm,,h-dining-table-oak.webp,h-dining-table-oak.webp,h-dining-table-oak.webp,h-dining-table-oak.webp,solid-oak-dining-table,H-DINING-TABLE-OAK,material,Oak,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,H-DINING-TABLE-WALNUT,material,Walnut,,,
,,,,Home,Kitchen & Dining,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-COFFEE-TABLE-OAK,Home,simple,home,Home,,Round coffee table Oak,490,,1,1,2,3,"A 90 cm round top on three turned legs, in oak or ash. The top is 25 mm solid wood on turned legs. It arrives assembled.","A 90 cm round top on three turned legs, in oak or ash.",33,1,Living room,Oak,Brown,90 x 45 cm,,h-coffee-table-oak.webp,h-coffee-table-oak.webp,h-coffee-table-oak.webp,h-coffee-table-oak.webp,round-coffee-table-oak,,,,,,
H-COFFEE-TABLE-ASH,Home,simple,home,Home,,Round coffee table Ash,490,,1,1,2,3,"A 90 cm round top on three turned legs, in oak or ash. The top is 25 mm solid wood on turned legs. It arrives assembled.","A 90 cm round top on three turned legs, in oak or ash.",15,1,Living room,Ash,Brown,90 x 45 cm,,h-coffee-table-ash.webp,h-coffee-table-ash.webp,h-coffee-table-ash.webp,h-coffee-table-ash.webp,round-coffee-table-ash,,,,,,
H-COFFEE-TABLE,Home,configurable,home,Home,Furniture,Round coffee table,490,,1,4,2,3,"A 90 cm round top on three turned legs, in oak or ash. The top is 25 mm solid wood on turned legs. It arrives assembled.","A 90 cm round top on three turned legs, in oak or ash.",0,1,Living room,,Brown,90 x 45 cm,,h-coffee-table-oak.webp,h-coffee-table-oak.webp,h-coffee-table-oak.webp,h-coffee-table-oak.webp,round-coffee-table,H-COFFEE-TABLE-OAK,material,Oak,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,H-COFFEE-TABLE-ASH,material,Ash,,,
H-SIDE-TABLE,Home,simple,home,Home,Furniture,Side table,220,,1,4,2,3,"A small oak side table with a single drawer. Forty centimetres square and 55 cm high, with a drawer on wooden runners. A bedside table or a lamp table.",A small oak side table with a single drawer.,44,1,Living room|Bedroom,Oak,Brown,45 x 40 x 55 cm,,h-side-table.webp,h-side-table.webp,h-side-table.webp,h-side-table.webp,side-table,,,,,,
H-BOOKCASE,Home,simple,home,Home,Furniture,Ash bookcase,890,,1,4,2,3,"A five-shelf bookcase in ash with an adjustable middle shelf. Solid ash, 90 cm wide and 200 cm tall, with a fixing kit for the wall. Each shelf holds 40 kg of books.",A five-shelf bookcase in ash with an adjustable middle shelf.,28,1,Living room|Office,Ash,Oatmeal,90 x 35 x 200 cm,,h-bookcase.webp,h-bookcase.webp,h-bookcase.webp,h-bookcase.webp,ash-bookcase,,,,,,
,,,,Home,Decor,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-DESK,Home,simple,home,Home,Furniture,Oak desk,690,,1,4,2,3,A 140 cm oak desk with a cable tray and one drawer. The cable tray hides a power strip and the drawer holds a laptop. Delivered assembled.,A 140 cm oak desk with a cable tray and one drawer.,22,1,Office,Oak,Brown,140 x 70 x 75 cm,,h-desk.webp,h-desk.webp,h-desk.webp,h-desk.webp,oak-desk,,,,,,
H-DINING-CHAIR-OATMEAL,Home,simple,home,Home,,Ash dining chair Oatmeal,210,,1,1,2,3,A steam-bent ash chair with a woven paper cord seat. The cord seat is woven by hand and lasts decades. Sold singly.,A steam-bent ash chair with a woven paper cord seat.,28,1,Kitchen,Ash,Oatmeal,50 x 48 x 80 cm,,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,ash-dining-chair-oatmeal,,,,,,
H-DINING-CHAIR-BLACK,Home,simple,home,Home,,Ash dining chair Black,210,,1,1,2,3,A steam-bent ash chair with a woven paper cord seat. The cord seat is woven by hand and lasts decades. Sold singly.,A steam-bent ash chair with a woven paper cord seat.,40,1,Kitchen,Ash,Black,50 x 48 x 80 cm,,h-dining-chair-black.webp,h-dining-chair-black.webp,h-dining-chair-black.webp,h-dining-chair-black.webp,ash-dining-chair-black,,,,,,
H-DINING-CHAIR,Home,configurable,home,Home,Furniture,Ash dining chair,210,,1,4,2,3,A steam-bent ash chair with a woven paper cord seat. The cord seat is woven by hand and lasts decades. Sold singly.,A steam-bent ash chair with a woven paper cord seat.,0,1,Kitchen,Ash,,50 x 48 x 80 cm,,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,h-dining-chair-oatmeal.webp,ash-dining-chair,H-DINING-CHAIR-OATMEAL,color,Oatmeal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,H-DINING-CHAIR-BLACK,color,Black,,,
,,,,Home,Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-BENCH,Home,simple,home,Home,Furniture,Oak bench,390,,1,4,2,3,"A 160 cm bench for the table or the hallway. Solid oak, 40 mm thick, on tapered legs. Seats three at the table.",A 160 cm bench for the table or the hallway.,24,1,Kitchen|Hallway,Oak,Brown,160 x 35 x 45 cm,,h-bench.webp,h-bench.webp,h-bench.webp,h-bench.webp,oak-bench,,,,,,
H-WARDROBE,Home,simple,home,Home,Furniture,Two-door wardrobe,1490,,1,4,2,3,"A solid ash wardrobe with a rail, a shelf and brass handles. Made to order in six weeks and delivered assembled. The doors close on soft hinges.","A solid ash wardrobe with a rail, a shelf and brass handles.",57,1,Bedroom,Ash,Oatmeal,120 x 60 x 200 cm,,h-wardrobe.webp,h-wardrobe.webp,h-wardrobe.webp,h-wardrobe.webp,two-door-wardrobe,,,,,,
