sku,store_code,nickname,title,detail,rating,created_at
F-OLIVE-OIL,food,Ada,Tastes like the real thing,"Bright, fresh and clearly made in small batches. Will reorder.",5,2026-01-10 10:00:00
F-APRICOT-JAM,food,Dev,"Good, a little pricey","Quality is there, but you pay for it. Worth it for a weekend.",4,2026-04-10 10:00:00
F-APRICOT-JAM,food,Elena,Arrived cold and fast,Packed with ice packs and a note. Everything was perfect.,5,2026-04-11 10:00:00
F-TOMATO-PASSATA,food,Greta,Weekly staple now,This has replaced the supermarket version in our house.,5,2026-01-10 10:00:00
F-BAGUETTE,food,Jonas,Peppery finish,"Green and grassy, with a proper pepper kick at the end.",5,2026-04-10 10:00:00
F-BAGUETTE,food,Kira,Bread was still warm,"Well, almost. Same-day delivery from the oven is a marvel.",5,2026-04-11 10:00:00
F-RYE-LOAF,food,Maya,Jar was half full,"Tastes great, but the jar looked short. Check the weight, not the glass.",3,2026-01-10 10:00:00
F-AGED-CHEDDAR,food,Priya,Kids ate the crusts,That has never happened. Buying every week.,5,2026-04-10 10:00:00
F-AGED-CHEDDAR,food,Quinn,Strong coffee,Dark and chocolatey. Not for people who like it light.,4,2026-04-11 10:00:00
F-PECORINO,food,Ada,Cheese needs a warning,It is glorious and it stinks out the fridge. Double wrap it.,5,2026-01-10 10:00:00
F-CHORIZO,food,Dev,Perfect crate,Sent as a housewarming gift. They messaged me a photo.,5,2026-04-10 10:00:00
F-CHORIZO,food,Elena,Too sweet for me,Good quality soda but sweeter than I hoped.,3,2026-04-11 10:00:00
F-ETHIOPIA,food,Greta,Pasta holds the sauce,"Bronze cut, rough surface. The difference is real.",5,2026-01-10 10:00:00
F-GREEN-TEA,food,Jonas,Delivery missed the slot,"Came a day late. Still cold, still good, but plan a day ahead.",3,2026-04-10 10:00:00
F-GREEN-TEA,food,Kira,"Honey is set, not runny",Set honey with a floral taste. Spread it thick.,5,2026-04-11 10:00:00
F-APPLE-JUICE,food,Maya,Breakfast is sorted,"Granola, jam and coffee in one order. Mornings are better.",5,2026-01-10 10:00:00
F-KOMBUCHA,food,Priya,Cured ham sliced thin,Paper thin and packed flat. Melted on warm bread.,5,2026-04-10 10:00:00
F-KOMBUCHA,food,Quinn,Bitter chocolate,"Very dark. I like it, my partner does not.",4,2026-04-11 10:00:00
F-VERMOUTH,food,Ada,Great for a picnic,Everything travelled well in the crate and the ice lasted.,5,2026-01-10 10:00:00
F-BREAKFAST-BOX,food,Dev,Tea is fragrant,"Loose leaf, big leaves, three steeps from one spoon.",5,2026-04-10 10:00:00
F-BREAKFAST-BOX,food,Elena,Wine surprised me,Did not know the producer. Now I do.,5,2026-04-11 10:00:00
F-TARALLI,food,Greta,Portion is small,"Delicious, but two people finished it in one go.",4,2026-01-10 10:00:00
F-GRANOLA,food,Jonas,Olive oil for cooking too,I bought the litre for the pan and the small bottle for salads.,5,2026-04-10 10:00:00
F-GRANOLA,food,Kira,Repeat order,Third crate. The team remembers the note about no nuts.,5,2026-04-11 10:00:00
