sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,diet,origin,pack_size,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
F-OLIVE-OIL-500-G,Food,simple,food,Food,,Puglia extra virgin olive oil 500 g,18,,1,1,2,0.5,"Cold-pressed from Coratina olives within hours of picking. Peppery, green and best raw on bread and greens. Pressed in November and bottled dark to keep the flavour. Use the small bottle for salads and the litre for the pan.",Cold-pressed from Coratina olives within hours of picking.,41,1,Vegan|Organic,Italy,500 g,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,puglia-extra-virgin-olive-oil-500-g,,,,,,
F-OLIVE-OIL-1-KG,Food,simple,food,Food,,Puglia extra virgin olive oil 1 kg,18,,1,1,2,0.5,"Cold-pressed from Coratina olives within hours of picking. Peppery, green and best raw on bread and greens. Pressed in November and bottled dark to keep the flavour. Use the small bottle for salads and the litre for the pan.",Cold-pressed from Coratina olives within hours of picking.,37,1,Vegan|Organic,Italy,1 kg,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,puglia-extra-virgin-olive-oil-1-kg,,,,,,
F-OLIVE-OIL,Food,configurable,food,Food,Pantry,Puglia extra virgin olive oil,18,,1,4,2,0.5,"Cold-pressed from Coratina olives within hours of picking. Peppery, green and best raw on bread and greens. Pressed in November and bottled dark to keep the flavour. Use the small bottle for salads and the litre for the pan.",Cold-pressed from Coratina olives within hours of picking.,0,1,Vegan|Organic,Italy,,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,f-olive-oil.webp,puglia-extra-virgin-olive-oil,F-OLIVE-OIL-500-G,pack_size,500 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-OLIVE-OIL-1-KG,pack_size,1 kg,,,
F-BRONZE-PASTA-500-G,Food,simple,food,Food,,Bronze-cut rigatoni 500 g,5.5,,1,1,2,0.5,"Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings. Dried for two days at a low temperature, which keeps the wheat flavour. Ten minutes in salted water.","Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings.",17,1,Vegan,Italy,500 g,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,bronze-cut-rigatoni-500-g,,,,,,
F-BRONZE-PASTA-1-KG,Food,simple,food,Food,,Bronze-cut rigatoni 1 kg,5.5,,1,1,2,0.5,"Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings. Dried for two days at a low temperature, which keeps the wheat flavour. Ten minutes in salted water.","Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings.",57,1,Vegan,Italy,1 kg,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,bronze-cut-rigatoni-1-kg,,,,,,
F-BRONZE-PASTA,Food,configurable,food,Food,Pantry,Bronze-cut rigatoni,5.5,,1,4,2,0.5,"Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings. Dried for two days at a low temperature, which keeps the wheat flavour. Ten minutes in salted water.","Slow-dried durum wheat pasta cut through bronze dies, so the sauce clings.",0,1,Vegan,Italy,,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,f-bronze-pasta.webp,bronze-cut-rigatoni,F-BRONZE-PASTA-500-G,pack_size,500 g,,,
,,,,,,,,,,,,,,,,,,,,,,,,,F-BRONZE-PASTA-1-KG,pack_size,1 kg,,,
F-SPAGHETTI,Food,simple,food,Food,Pantry,Gragnano spaghetti,5,,1,4,2,0.5,"Long, slow-dried spaghetti from Gragnano, with the bite to hold a carbonara. Made from Italian durum wheat and mountain water. Eleven minutes for al dente.","Long, slow-dried spaghetti from Gragnano, with the bite to hold a carbonara.",12,1,Vegan,Italy,500 g,f-spaghetti.webp,f-spaghetti.webp,f-spaghetti.webp,f-spaghetti.webp,gragnano-spaghetti,,,,,,
F-APRICOT-JAM,Food,simple,food,Food,Pantry,Apricot jam,7.5,,1,4,2,0.5,"Whole apricots cooked in copper with cane sugar and nothing else. Sixty percent fruit, set softly, with pieces of apricot in every spoon. Keep in the fridge once open.",Whole apricots cooked in copper with cane sugar and nothing else.,15,1,Vegan|Vegetarian,France,250 g,f-apricot-jam.webp,f-apricot-jam.webp,f-apricot-jam.webp,f-apricot-jam.webp,apricot-jam,,,,,,
