sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,age_range,size,color,material,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
K-STACKER,Kids,simple,kids,Kids,Toys,Rainbow stacker,28,,1,4,2,0.5,"Seven beech rings on a peg, painted with water-based colour. The rings are large enough for small hands and the peg is rounded. From twelve months.","Seven beech rings on a peg, painted with water-based colour.",43,1,1 to 3,,Red,Oak,k-stacker.webp,k-stacker.webp,k-stacker.webp,k-stacker.webp,rainbow-stacker,,,,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-TRAIN,Kids,simple,kids,Kids,Toys,Wooden train set,65,,1,4,2,0.5,A 30-piece beech track with a three-car train and a bridge. The track fits the pieces of other wooden sets. From three years.,A 30-piece beech track with a three-car train and a bridge.,44,1,3 to 5,,Brown,Oak,k-train.webp,k-train.webp,k-train.webp,k-train.webp,wooden-train-set,,,,,,
K-BLOCKS,Kids,simple,kids,Kids,Toys,"Building blocks, 50 pieces",45,,1,4,2,0.5,"Fifty maple blocks in a cotton bag. Cubes, arches, triangles and planks, sanded smooth and left unpainted. From eighteen months.",Fifty maple blocks in a cotton bag.,51,1,1 to 3,,Oatmeal,Oak,k-blocks.webp,k-blocks.webp,k-blocks.webp,k-blocks.webp,building-blocks-50-pieces,,,,,,
K-RABBIT-GREY,Kids,simple,kids,Kids,,Felt rabbit Grey,24,,1,1,2,0.5,"A hand-sewn wool felt rabbit, 25 cm, with a linen dress. Filled with wool, so it is soft and light. Hand wash and it keeps its shape.","A hand-sewn wool felt rabbit, 25 cm, with a linen dress.",9,1,0 to 1,,Grey,Wool,k-rabbit-grey.webp,k-rabbit-grey.webp,k-rabbit-grey.webp,k-rabbit-grey.webp,felt-rabbit-grey,,,,,,
K-RABBIT-PINK,Kids,simple,kids,Kids,,Felt rabbit Pink,24,,1,1,2,0.5,"A hand-sewn wool felt rabbit, 25 cm, with a linen dress. Filled with wool, so it is soft and light. Hand wash and it keeps its shape.","A hand-sewn wool felt rabbit, 25 cm, with a linen dress.",20,1,0 to 1,,Pink,Wool,k-rabbit-pink.webp,k-rabbit-pink.webp,k-rabbit-pink.webp,k-rabbit-pink.webp,felt-rabbit-pink,,,,,,
K-RABBIT-OATMEAL,Kids,simple,kids,Kids,,Felt rabbit Oatmeal,24,,1,1,2,0.5,"A hand-sewn wool felt rabbit, 25 cm, with a linen dress. Filled with wool, so it is soft and light. Hand wash and it keeps its shape.","A hand-sewn wool felt rabbit, 25 cm, with a linen dress.",46,1,0 to 1,,Oatmeal,Wool,k-rabbit-oatmeal.webp,k-rabbit-oatmeal.webp,k-rabbit-oatmeal.webp,k-rabbit-oatmeal.webp,felt-rabbit-oatmeal,,,,,,
K-RABBIT,Kids,configurable,kids,Kids,Toys,Felt rabbit,24,,1,4,2,0.5,"A hand-sewn wool felt rabbit, 25 cm, with a linen dress. Filled with wool, so it is soft and light. Hand wash and it keeps its shape.","A hand-sewn wool felt rabbit, 25 cm, with a linen dress.",0,1,0 to 1,,,Wool,k-rabbit-grey.webp,k-rabbit-grey.webp,k-rabbit-grey.webp,k-rabbit-grey.webp,felt-rabbit,K-RABBIT-GREY,color,Grey,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-RABBIT-PINK,color,Pink,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,K-RABBIT-OATMEAL,color,Oatmeal,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-PLAY-KITCHEN,Kids,simple,kids,Kids,Toys,Play kitchen,180,,1,4,2,0.5,"A birch play kitchen with a working tap sound and a chalkboard. Solid birch with two hobs, an oven door and a shelf for pans. Assembly takes twenty minutes.",A birch play kitchen with a working tap sound and a chalkboard.,48,1,3 to 5,,White,Oak,k-play-kitchen.webp,k-play-kitchen.webp,k-play-kitchen.webp,k-play-kitchen.webp,play-kitchen,,,,,,
,,,,Kids,Nursery,,,,,,,,,,,,,,,,,,,,,,,,,,
K-PUZZLE,Kids,simple,kids,Kids,Toys,Animal puzzle,18,,1,4,2,0.5,A nine-piece chunky wooden puzzle of farm animals. Thick pieces with a knob for small fingers. From eighteen months.,A nine-piece chunky wooden puzzle of farm animals.,28,1,1 to 3,,Green,Oak,k-puzzle.webp,k-puzzle.webp,k-puzzle.webp,k-puzzle.webp,animal-puzzle,,,,,,
K-RATTLE,Kids,simple,kids,Kids,Toys,Beech rattle,12,,1,4,2,0.5,A ring rattle in oiled beech with a bell inside. Oiled beech with no paint and a bell that cannot come out. From birth.,A ring rattle in oiled beech with a bell inside.,40,1,0 to 1,,Oatmeal,Oak,k-rattle.webp,k-rattle.webp,k-rattle.webp,k-rattle.webp,beech-rattle,,,,,,
,,,,Kids,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,
K-DOLL,Kids,simple,kids,Kids,Toys,Cotton doll,34,,1,4,2,0.5,"A 35 cm soft doll in organic cotton with a removable dress. Washable at thirty degrees, hair and all. The dress comes off and goes back on.",A 35 cm soft doll in organic cotton with a removable dress.,37,1,1 to 3,,Pink,Cotton,k-doll.webp,k-doll.webp,k-doll.webp,k-doll.webp,cotton-doll,,,,,,
