root,path,store_code,name,is_active,include_in_menu,is_anchor,position,display_mode,landing_page,image,description,meta_title,meta_description
Default Category,,,Default Category,1,1,1,,,,,"Every product of the ten Maho demo stores, on the default theme.",,
Default Category,,default-fr,Catégorie par défaut,,,,,,,,"Tous les produits des dix boutiques de démonstration Maho, sur le thème par défaut.",,
Default Category,,default-de,Standardkategorie,,,,,,,,"Jedes Produkt der zehn Maho-Demoshops, auf dem Standard-Theme.",,
Default Category,,default-it,Categoria predefinita,,,,,,,,"Ogni prodotto dei dieci negozi dimostrativi Maho, sul tema predefinito.",,
Default Category,fashion,,Fashion,1,1,1,1,PRODUCTS,,store-fashion.webp,Travel-wear and lifestyle pieces for the journey.,,
Default Category,fashion,default-fr,Mode,,,,,,,,"Des vêtements de voyage et des pièces du quotidien, pour la route.",,
Default Category,fashion,default-de,Mode,,,,,,,,Reisekleidung und Lieblingsstücke für unterwegs.,,
Default Category,fashion,default-it,Moda,,,,,,,,"Capi da viaggio e pezzi di tutti i giorni, per la strada.",,
Default Category,fashion/women,,Women,1,1,1,2,PRODUCTS,,,,,
Default Category,fashion/women,default-fr,Femme,,,,,,,,,,
Default Category,fashion/women,default-de,Damen,,,,,,,,,,
Default Category,fashion/women,default-it,Donna,,,,,,,,,,
Default Category,fashion/women/new-arrivals,,New Arrivals,1,1,1,1,PRODUCTS,,,,,
Default Category,fashion/women/new-arrivals,default-fr,Nouveautés,,,,,,,,,,
Default Category,fashion/women/new-arrivals,default-de,Neuheiten,,,,,,,,,,
Default Category,fashion/women/new-arrivals,default-it,Novità,,,,,,,,,,
Default Category,fashion/women/tops-blouses,,Tops & Blouses,1,1,1,2,PRODUCTS,,,,,
Default Category,fashion/women/tops-blouses,default-fr,Hauts et chemisiers,,,,,,,,,,
Default Category,fashion/women/tops-blouses,default-de,Tops und Blusen,,,,,,,,,,
Default Category,fashion/women/tops-blouses,default-it,Top e camicette,,,,,,,,,,
Default Category,fashion/women/pants-denim,,Pants & Denim,1,1,1,3,PRODUCTS,,,,,
Default Category,fashion/women/pants-denim,default-fr,Pantalons et jeans,,,,,,,,,,
Default Category,fashion/women/pants-denim,default-de,Hosen und Jeans,,,,,,,,,,
Default Category,fashion/women/pants-denim,default-it,Pantaloni e jeans,,,,,,,,,,
Default Category,fashion/women/dresses-skirts,,Dresses & Skirts,1,1,1,4,PRODUCTS,,,,,
Default Category,fashion/women/dresses-skirts,default-fr,Robes et jupes,,,,,,,,,,
Default Category,fashion/women/dresses-skirts,default-de,Kleider und Röcke,,,,,,,,,,
Default Category,fashion/women/dresses-skirts,default-it,Abiti e gonne,,,,,,,,,,
Default Category,fashion/men,,Men,1,1,1,3,PRODUCTS,,,,,
Default Category,fashion/men,default-fr,Homme,,,,,,,,,,
Default Category,fashion/men,default-de,Herren,,,,,,,,,,
Default Category,fashion/men,default-it,Uomo,,,,,,,,,,
Default Category,fashion/men/new-arrivals,,New Arrivals,1,1,1,1,PRODUCTS,,,,,
Default Category,fashion/men/new-arrivals,default-fr,Nouveautés,,,,,,,,,,
Default Category,fashion/men/new-arrivals,default-de,Neuheiten,,,,,,,,,,
Default Category,fashion/men/new-arrivals,default-it,Novità,,,,,,,,,,
Default Category,fashion/men/shirts,,Shirts,1,1,1,2,PRODUCTS,,,,,
Default Category,fashion/men/shirts,default-fr,Chemises,,,,,,,,,,
Default Category,fashion/men/shirts,default-de,Hemden,,,,,,,,,,
Default Category,fashion/men/shirts,default-it,Camicie,,,,,,,,,,
Default Category,fashion/men/tees-knits-and-polos,,"Tees, Knits and Polos",1,1,1,3,PRODUCTS,,,,,
Default Category,fashion/men/tees-knits-and-polos,default-fr,"T-shirts, mailles et polos",,,,,,,,,,
Default Category,fashion/men/tees-knits-and-polos,default-de,"Shirts, Strick und Polos",,,,,,,,,,
Default Category,fashion/men/tees-knits-and-polos,default-it,"T-shirt, maglieria e polo",,,,,,,,,,
Default Category,fashion/men/pants-denim,,Pants & Denim,1,1,1,4,PRODUCTS,,,,,
Default Category,fashion/men/pants-denim,default-fr,Pantalons et jeans,,,,,,,,,,
Default Category,fashion/men/pants-denim,default-de,Hosen und Jeans,,,,,,,,,,
Default Category,fashion/men/pants-denim,default-it,Pantaloni e jeans,,,,,,,,,,
Default Category,fashion/men/blazers,,Blazers,1,1,1,5,PRODUCTS,,,,,
Default Category,fashion/men/blazers,default-fr,Vestes,,,,,,,,,,
Default Category,fashion/men/blazers,default-de,Sakkos,,,,,,,,,,
Default Category,fashion/men/blazers,default-it,Giacche,,,,,,,,,,
Default Category,fashion/accessories,,Accessories,1,1,1,4,PRODUCTS,,,,,
Default Category,fashion/accessories,default-fr,Accessoires,,,,,,,,,,
Default Category,fashion/accessories,default-de,Accessoires,,,,,,,,,,
Default Category,fashion/accessories,default-it,Accessori,,,,,,,,,,
Default Category,fashion/accessories/eyewear,,Eyewear,1,1,1,1,PRODUCTS,,,,,
Default Category,fashion/accessories/eyewear,default-fr,Lunettes,,,,,,,,,,
Default Category,fashion/accessories/eyewear,default-de,Brillen,,,,,,,,,,
Default Category,fashion/accessories/eyewear,default-it,Occhiali,,,,,,,,,,
