sku,_product_websites,_root_category,_category,_store,name,price,status,visibility,tax_class_id,weight,description,short_description
W-LINEN-SHIRT-WHITE,base,,,,Ashford linen shirt White,79,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash. Cut from midweight European linen with a curved hem that works tucked or out. Wash cold and hang to dry.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.
,,,,,,,,,,,,
,,,,fr,Chemise en lin Ashford Blanc,,,,,,"Une chemise en lin décontractée, col souple et boutons de nacre. Elle se plie à plat, sèche vite et s'améliore à chaque lavage. Coupée dans un lin européen de poids moyen, avec un bas arrondi qui se porte rentré ou sorti. Lavage à froid, séchage sur cintre.","Une chemise en lin décontractée, col souple et boutons de nacre."
,,,,de,Ashford Leinenhemd Weiß,,,,,,"Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen. Es packt flach, trocknet schnell und wird mit jeder Wäsche besser. Aus mittelschwerem europäischem Leinen, mit rundem Saum zum Reinstecken oder Offentragen. Kalt waschen und hängend trocknen.",Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen.
,,,,it,Camicia di lino Ashford Bianco,,,,,,"Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla. Si piega piatta, asciuga in fretta e migliora a ogni lavaggio. Tagliata in lino europeo di peso medio, con fondo arrotondato che sta bene dentro o fuori. Lavare a freddo e asciugare appesa.","Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla."
W-LINEN-SHIRT-IVORY,base,,,,Ashford linen shirt Ivory,79,1,1,2,1,"A relaxed linen shirt with a soft collar and mother-of-pearl buttons. Packs flat, dries fast, gets better with every wash. Cut from midweight European linen with a curved hem that works tucked or out. Wash cold and hang to dry.",A relaxed linen shirt with a soft collar and mother-of-pearl buttons.
,,,,,,,,,,,,
,,,,fr,Chemise en lin Ashford Ivoire,,,,,,"Une chemise en lin décontractée, col souple et boutons de nacre. Elle se plie à plat, sèche vite et s'améliore à chaque lavage. Coupée dans un lin européen de poids moyen, avec un bas arrondi qui se porte rentré ou sorti. Lavage à froid, séchage sur cintre.","Une chemise en lin décontractée, col souple et boutons de nacre."
,,,,de,Ashford Leinenhemd Elfenbein,,,,,,"Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen. Es packt flach, trocknet schnell und wird mit jeder Wäsche besser. Aus mittelschwerem europäischem Leinen, mit rundem Saum zum Reinstecken oder Offentragen. Kalt waschen und hängend trocknen.",Ein lockeres Leinenhemd mit weichem Kragen und Perlmuttknöpfen.
,,,,it,Camicia di lino Ashford Avorio,,,,,,"Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla. Si piega piatta, asciuga in fretta e migliora a ogni lavaggio. Tagliata in lino europeo di peso medio, con fondo arrotondato che sta bene dentro o fuori. Lavare a freddo e asciugare appesa.","Una camicia di lino dal taglio morbido, con collo soft e bottoni in madreperla."
