sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,color,brand,connectivity,storage,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
E-HEADPHONE-ANC-BLACK,Electronics,simple,electronics,Electronics,,Kestrel K2 noise-cancelling headphones Black,299,,1,1,2,1,"Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning. Fold flat into a hard case, charge by USB-C, and the cancelling adapts to a plane or a train. The tuning is flat, so what you hear is the recording.","Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning.",54,1,Black,Kestrel Audio,Bluetooth|USB-C,,e-headphone-anc-black.webp,e-headphone-anc-black.webp,e-headphone-anc-black.webp,e-headphone-anc-black.webp,kestrel-k2-noise-cancelling-headphones-black,,,,,,
E-HEADPHONE-ANC-SILVER,Electronics,simple,electronics,Electronics,,Kestrel K2 noise-cancelling headphones Silver,299,,1,1,2,1,"Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning. Fold flat into a hard case, charge by USB-C, and the cancelling adapts to a plane or a train. The tuning is flat, so what you hear is the recording.","Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning.",22,1,Silver,Kestrel Audio,Bluetooth|USB-C,,e-headphone-anc-silver.webp,e-headphone-anc-silver.webp,e-headphone-anc-silver.webp,e-headphone-anc-silver.webp,kestrel-k2-noise-cancelling-headphones-silver,,,,,,
E-HEADPHONE-ANC-GREEN,Electronics,simple,electronics,Electronics,,Kestrel K2 noise-cancelling headphones Green,299,,1,1,2,1,"Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning. Fold flat into a hard case, charge by USB-C, and the cancelling adapts to a plane or a train. The tuning is flat, so what you hear is the recording.","Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning.",42,1,Green,Kestrel Audio,Bluetooth|USB-C,,e-headphone-anc-green.webp,e-headphone-anc-green.webp,e-headphone-anc-green.webp,e-headphone-anc-green.webp,kestrel-k2-noise-cancelling-headphones-green,,,,,,
E-HEADPHONE-ANC,Electronics,configurable,electronics,Electronics,Audio,Kestrel K2 noise-cancelling headphones,299,,1,4,2,1,"Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning. Fold flat into a hard case, charge by USB-C, and the cancelling adapts to a plane or a train. The tuning is flat, so what you hear is the recording.","Over-ear headphones with adaptive noise cancelling, forty hours of battery and a flat tuning.",0,1,,Kestrel Audio,Bluetooth|USB-C,,e-headphone-anc-black.webp,e-headphone-anc-black.webp,e-headphone-anc-black.webp,e-headphone-anc-black.webp,kestrel-k2-noise-cancelling-headphones,E-HEADPHONE-ANC-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-HEADPHONE-ANC-SILVER,color,Silver,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-HEADPHONE-ANC-GREEN,color,Green,,,
E-EARBUDS-BLACK,Electronics,simple,electronics,Electronics,,Kestrel Buds Black,149,,1,1,2,1,True wireless earbuds with a six-hour charge and a case that adds three more. The buds seal well and the microphones handle a windy call. The case charges wirelessly or by USB-C.,True wireless earbuds with a six-hour charge and a case that adds three more.,37,1,Black,Kestrel Audio,Bluetooth|USB-C,,e-earbuds-black.webp,e-earbuds-black.webp,e-earbuds-black.webp,e-earbuds-black.webp,kestrel-buds-black,,,,,,
E-EARBUDS-WHITE,Electronics,simple,electronics,Electronics,,Kestrel Buds White,149,,1,1,2,1,True wireless earbuds with a six-hour charge and a case that adds three more. The buds seal well and the microphones handle a windy call. The case charges wirelessly or by USB-C.,True wireless earbuds with a six-hour charge and a case that adds three more.,27,1,White,Kestrel Audio,Bluetooth|USB-C,,e-earbuds-white.webp,e-earbuds-white.webp,e-earbuds-white.webp,e-earbuds-white.webp,kestrel-buds-white,,,,,,
E-EARBUDS,Electronics,configurable,electronics,Electronics,Audio,Kestrel Buds,149,,1,4,2,1,True wireless earbuds with a six-hour charge and a case that adds three more. The buds seal well and the microphones handle a windy call. The case charges wirelessly or by USB-C.,True wireless earbuds with a six-hour charge and a case that adds three more.,0,1,,Kestrel Audio,Bluetooth|USB-C,,e-earbuds-black.webp,e-earbuds-black.webp,e-earbuds-black.webp,e-earbuds-black.webp,kestrel-buds,E-EARBUDS-BLACK,color,Black,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,E-EARBUDS-WHITE,color,White,,,
