sku,store_code,nickname,title,detail,rating,created_at
G-CLEANSE-BALM,beauty,Ada,Gentle and it works,"No stinging, no fragrance, and my skin is calmer after two weeks.",5,2026-01-10 10:00:00
G-MICELLAR,beauty,Dev,Nice but small,"Lovely texture. The jar is smaller than it looks, so watch the volume.",4,2026-04-10 10:00:00
G-MICELLAR,beauty,Elena,Refill is a great idea,"Bought the glass once, now I refill. Cheaper and less waste.",5,2026-04-11 10:00:00
G-VIT-C,beauty,Greta,My holy grail,Third jar. Nothing else has replaced it.,5,2026-01-10 10:00:00
G-NIACINAMIDE,beauty,Jonas,Sinks in fast,"No greasy film, makeup goes on top after a minute.",5,2026-04-10 10:00:00
G-NIACINAMIDE,beauty,Kira,Took a month to see it,Patience needed. Around week four the texture of my skin changed.,4,2026-04-11 10:00:00
G-DAY-CREAM,beauty,Maya,Smells like nothing,Which is exactly what I wanted for reactive skin.,5,2026-01-10 10:00:00
G-BALM,beauty,Priya,Pump broke,"The formula is great, the pump stopped after a month. Support sent a new one.",3,2026-04-10 10:00:00
G-BALM,beauty,Quinn,Good for oily skin,Matte finish without tightness. My afternoon shine is gone.,5,2026-04-11 10:00:00
G-BODY-WASH,beauty,Ada,Too rich for me,"Beautiful for dry skin I am sure, too heavy for my combination skin.",3,2026-01-10 10:00:00
G-BODY-CREAM,beauty,Dev,Travel size please,I love it but the bottle is too big for a carry-on.,4,2026-04-10 10:00:00
G-BODY-CREAM,beauty,Elena,Replaced three products,"Cleanser, toner and serum in one step. My shelf is empty now.",5,2026-04-11 10:00:00
G-LIP-BALM,beauty,Greta,Glass feels premium,Heavy frosted glass and a proper lid. Sits well on the sink.,5,2026-01-10 10:00:00
G-EDP-CEDAR,beauty,Jonas,"Nice, not a miracle","Pleasant to use and my skin is fine, but the price promised more.",3,2026-04-10 10:00:00
G-EDP-CEDAR,beauty,Kira,Calmed a flare up,Used it on a red patch for three nights and it settled.,5,2026-04-11 10:00:00
G-CANDLE,beauty,Maya,A little goes far,Two pumps for the whole face. The bottle will last months.,5,2026-01-10 10:00:00
G-PM-ROUTINE,beauty,Priya,Great under sunscreen,"No pilling, which is rare. Sunscreen sits smoothly on top.",5,2026-04-10 10:00:00
G-PM-ROUTINE,beauty,Quinn,Arrived leaking,The cap was loose and a third was gone. Replaced within a week.,3,2026-04-11 10:00:00
G-HEADBAND,beauty,Ada,Smooth after one use,"The enzyme powder is gentle and my skin felt polished, not raw.",5,2026-01-10 10:00:00
