sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,skin_type,volume,scent,color,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
G-CLEANSE-BALM-50-ML,Beauty,simple,beauty,Beauty,,Cleansing balm 50 ml,28,,1,1,2,0.2,"A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth. Massage it on dry skin for a minute, add warm water, then wipe. One jar lasts about three months of evenings.","A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth.",48,1,All skin|Dry,50 ml,Unscented,,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,cleansing-balm-50-ml,,,,,,
G-CLEANSE-BALM-100-ML,Beauty,simple,beauty,Beauty,,Cleansing balm 100 ml,28,,1,1,2,0.2,"A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth. Massage it on dry skin for a minute, add warm water, then wipe. One jar lasts about three months of evenings.","A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth.",39,1,All skin|Dry,100 ml,Unscented,,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,cleansing-balm-100-ml,,,,,,
G-CLEANSE-BALM,Beauty,configurable,beauty,Beauty,Cleansers,Cleansing balm,28,,1,4,2,0.2,"A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth. Massage it on dry skin for a minute, add warm water, then wipe. One jar lasts about three months of evenings.","A shea and jojoba balm that melts makeup and sunscreen, then rinses clean with a cloth.",0,1,All skin|Dry,,Unscented,,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,g-cleanse-balm.webp,cleansing-balm,G-CLEANSE-BALM-50-ML,volume,50 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-CLEANSE-BALM-100-ML,volume,100 ml,,,
G-GEL-CLEANSER-100-ML,Beauty,simple,beauty,Beauty,,Gel cleanser 100 ml,22,,1,1,2,0.2,"A low-foam gel with glycerin and oat, for morning and after the balm. It rinses clean without the tight feeling. The pump gives one dose for the whole face.","A low-foam gel with glycerin and oat, for morning and after the balm.",56,1,Oily|Combination,100 ml,Unscented,,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,gel-cleanser-100-ml,,,,,,
G-GEL-CLEANSER-200-ML,Beauty,simple,beauty,Beauty,,Gel cleanser 200 ml,22,,1,1,2,0.2,"A low-foam gel with glycerin and oat, for morning and after the balm. It rinses clean without the tight feeling. The pump gives one dose for the whole face.","A low-foam gel with glycerin and oat, for morning and after the balm.",41,1,Oily|Combination,200 ml,Unscented,,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,gel-cleanser-200-ml,,,,,,
G-GEL-CLEANSER,Beauty,configurable,beauty,Beauty,Cleansers,Gel cleanser,22,,1,4,2,0.2,"A low-foam gel with glycerin and oat, for morning and after the balm. It rinses clean without the tight feeling. The pump gives one dose for the whole face.","A low-foam gel with glycerin and oat, for morning and after the balm.",0,1,Oily|Combination,,Unscented,,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,g-gel-cleanser.webp,gel-cleanser,G-GEL-CLEANSER-100-ML,volume,100 ml,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,G-GEL-CLEANSER-200-ML,volume,200 ml,,,
G-CLEANSE-OIL,Beauty,simple,beauty,Beauty,Cleansers,Cleansing oil,26,,1,4,2,0.2,"Sunflower and squalane, emulsifies with water and leaves no film. Two pumps in dry hands, a slow massage, then water turns it milky. Waterproof mascara comes off too.","Sunflower and squalane, emulsifies with water and leaves no film.",50,1,All skin|Dry,100 ml,Neroli,,g-cleanse-oil.webp,g-cleanse-oil.webp,g-cleanse-oil.webp,g-cleanse-oil.webp,cleansing-oil,,,,,,
G-MICELLAR,Beauty,simple,beauty,Beauty,Cleansers,Micellar water,16,,1,4,2,0.2,"A no-rinse water for the evenings when the sink is too far. Soak a cotton pad, press for five seconds, wipe once. Follow with a cleanser when you have the energy.",A no-rinse water for the evenings when the sink is too far.,14,1,All skin|Sensitive,200 ml,Unscented,,g-micellar.webp,g-micellar.webp,g-micellar.webp,g-micellar.webp,micellar-water,,,,,,
G-EXFOLIANT,Beauty,simple,beauty,Beauty,Cleansers,Enzyme exfoliant,30,,1,4,2,0.2,"Papaya enzymes and rice powder, once a week, no grains. Mix a small spoon with water in the palm until it foams. Sunday evening is the right night for it.","Papaya enzymes and rice powder, once a week, no grains.",58,1,All skin|Combination,50 ml,Unscented,,g-exfoliant.webp,g-exfoliant.webp,g-exfoliant.webp,g-exfoliant.webp,enzyme-exfoliant,,,,,,
G-FACE-CLOTH,Beauty,simple,beauty,Beauty,Cleansers,Muslin face cloths,12,,1,4,2,0.2,"Three organic muslin cloths, softer with every wash. Use one per evening and wash them together at sixty degrees. They dry on the rail by morning.","Three organic muslin cloths, softer with every wash.",19,1,All skin,,Unscented,,g-face-cloth.webp,g-face-cloth.webp,g-face-cloth.webp,g-face-cloth.webp,muslin-face-cloths,,,,,,
,,,,Beauty,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,
