sku,store_code,nickname,title,detail,rating,created_at
J-BAND-THIN,jewelry,Ada,Delicate and well made,"Finer than the photos suggest, in a good way. The finish is flawless.",5,2026-01-10 10:00:00
J-MOONSTONE-RING,jewelry,Dev,"Lovely, a little small","Beautiful piece. The pendant is smaller than I expected, so check the size.",4,2026-04-10 10:00:00
J-MOONSTONE-RING,jewelry,Elena,Worn every day,"Six months in, no tarnish, no loose stone.",5,2026-04-11 10:00:00
J-TWIST-RING,jewelry,Greta,Perfect gift,The box and the handwritten card made it. She cried.,5,2026-01-10 10:00:00
J-PEARL-STRAND,jewelry,Jonas,Clasp is secure,Lobster clasp with a proper spring. Never opened by itself.,5,2026-04-10 10:00:00
J-PEARL-STRAND,jewelry,Kira,Resized for free,"Half a size out. Sent back, resized, returned within a week.",5,2026-04-11 10:00:00
J-EMERALD-PENDANT,jewelry,Maya,Catches the light,The stone sparkles under office lights. Colleagues noticed.,5,2026-01-10 10:00:00
J-HOOP-SMALL,jewelry,Priya,Chain is fine,Beautiful but very fine. I take it off for the gym.,4,2026-04-10 10:00:00
J-HOOP-SMALL,jewelry,Quinn,Stacks well,"Three thin rings, worn together. That was the plan and it works.",5,2026-04-11 10:00:00
J-DOT-STUD,jewelry,Ada,Earring back is tiny,Lovely hoops but the backs are small and easy to drop.,3,2026-01-10 10:00:00
J-THREADER,jewelry,Dev,"Solid gold, not plated",You can feel the weight. Worth every penny.,5,2026-04-10 10:00:00
J-THREADER,jewelry,Elena,Slight scratch on the band,Hairline mark out of the box. Polished it out myself.,4,2026-04-11 10:00:00
J-PEARL-BRACELET,jewelry,Greta,Pearls are matched,"Same size, same lustre, well knotted between each.",5,2026-01-10 10:00:00
J-ID-BRACELET,jewelry,Jonas,Fits the wrist,Cuff opens just enough. Stays put all day.,5,2026-04-10 10:00:00
J-ID-BRACELET,jewelry,Kira,Ring box is lovely,The linen box is a keepsake on its own.,5,2026-04-11 10:00:00
J-SAPPHIRE-SOL,jewelry,Maya,Wanted it bigger,"Beautiful stone, smaller than the photo led me to expect.",4,2026-01-10 10:00:00
J-ETERNITY,jewelry,Priya,No green finger,"A month of daily wear, no mark on the skin.",5,2026-04-10 10:00:00
J-ETERNITY,jewelry,Quinn,Engraving is crisp,"Two initials and a date, clean and even.",5,2026-04-11 10:00:00
J-RING-BOX,jewelry,Ada,Bought a second for my sister,She saw mine and now we match.,5,2026-01-10 10:00:00
J-GIFT-CARD,jewelry,Dev,Post is short,"Stud sits close to the ear, which I like. Bigger lobes may want longer posts.",4,2026-04-10 10:00:00
J-GIFT-CARD,jewelry,Elena,Came with a cloth,Polishing cloth and care notes in the box. Thoughtful.,5,2026-04-11 10:00:00
