sku,_attribute_set,_type,_product_websites,_root_category,_category,name,price,special_price,status,visibility,tax_class_id,weight,description,short_description,qty,is_in_stock,material,stone,size,color,_media_image,image,small_image,thumbnail,url_key,_super_products_sku,_super_attribute_code,_super_attribute_option,_associated_sku,_associated_default_qty,_associated_position
J-BAND-THIN-48,Jewelry,simple,jewelry,Jewelry,,Thin band 48,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",52,1,14k gold,None,48,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-48,,,,,,
J-BAND-THIN-50,Jewelry,simple,jewelry,Jewelry,,Thin band 50,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",23,1,14k gold,None,50,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-50,,,,,,
J-BAND-THIN-52,Jewelry,simple,jewelry,Jewelry,,Thin band 52,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",48,1,14k gold,None,52,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-52,,,,,,
J-BAND-THIN-54,Jewelry,simple,jewelry,Jewelry,,Thin band 54,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",25,1,14k gold,None,54,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-54,,,,,,
J-BAND-THIN-56,Jewelry,simple,jewelry,Jewelry,,Thin band 56,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",9,1,14k gold,None,56,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-56,,,,,,
J-BAND-THIN-58,Jewelry,simple,jewelry,Jewelry,,Thin band 58,120,,1,1,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",16,1,14k gold,None,58,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band-58,,,,,,
J-BAND-THIN,Jewelry,configurable,jewelry,Jewelry,Rings,Thin band,120,,1,4,2,0.1,"A 1.5 mm round band in recycled gold, the one you stack or wear alone. Made from recycled 14 karat gold and polished by hand. Available in sizes from 46 to 62.","A 1.5 mm round band in recycled gold, the one you stack or wear alone.",0,1,14k gold,None,,Gold,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,j-band-thin.webp,thin-band,J-BAND-THIN-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-THIN-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-THIN-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-THIN-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-THIN-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-THIN-58,size,58,,,
J-BAND-HAMMER-48,Jewelry,simple,jewelry,Jewelry,,Hammered band 48,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,8,1,Sterling silver,None,48,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-48,,,,,,
J-BAND-HAMMER-50,Jewelry,simple,jewelry,Jewelry,,Hammered band 50,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,9,1,Sterling silver,None,50,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-50,,,,,,
J-BAND-HAMMER-52,Jewelry,simple,jewelry,Jewelry,,Hammered band 52,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,59,1,Sterling silver,None,52,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-52,,,,,,
J-BAND-HAMMER-54,Jewelry,simple,jewelry,Jewelry,,Hammered band 54,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,23,1,Sterling silver,None,54,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-54,,,,,,
J-BAND-HAMMER-56,Jewelry,simple,jewelry,Jewelry,,Hammered band 56,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,55,1,Sterling silver,None,56,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-56,,,,,,
J-BAND-HAMMER-58,Jewelry,simple,jewelry,Jewelry,,Hammered band 58,95,,1,1,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,53,1,Sterling silver,None,58,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band-58,,,,,,
J-BAND-HAMMER,Jewelry,configurable,jewelry,Jewelry,Rings,Hammered band,95,,1,4,2,0.1,"A 3 mm band with a hand-hammered face in sterling silver. Each band is hammered by hand, so the pattern is never the same twice. Sterling silver, sizes 48 to 64.",A 3 mm band with a hand-hammered face in sterling silver.,0,1,Sterling silver,None,,Silver,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,j-band-hammer.webp,hammered-band,J-BAND-HAMMER-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-HAMMER-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-HAMMER-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-HAMMER-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-HAMMER-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-BAND-HAMMER-58,size,58,,,
J-SIGNET-48,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 48,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",56,1,14k gold,None,48,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-48,,,,,,
J-SIGNET-50,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 50,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",40,1,14k gold,None,50,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-50,,,,,,
J-SIGNET-52,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 52,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",15,1,14k gold,None,52,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-52,,,,,,
J-SIGNET-54,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 54,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",59,1,14k gold,None,54,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-54,,,,,,
J-SIGNET-56,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 56,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",21,1,14k gold,None,56,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-56,,,,,,
J-SIGNET-58,Jewelry,simple,jewelry,Jewelry,,Oval signet ring 58,180,,1,1,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",43,1,14k gold,None,58,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring-58,,,,,,
J-SIGNET,Jewelry,configurable,jewelry,Jewelry,Rings,Oval signet ring,180,,1,4,2,0.1,"A small oval signet in recycled gold, plain for engraving. The oval face is 9 by 7 mm, ready for one or two initials. Engraving is free and takes three days.","A small oval signet in recycled gold, plain for engraving.",0,1,14k gold,None,,Gold,j-signet.webp,j-signet.webp,j-signet.webp,j-signet.webp,oval-signet-ring,J-SIGNET-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SIGNET-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SIGNET-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SIGNET-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SIGNET-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SIGNET-58,size,58,,,
J-MOONSTONE-RING-48,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 48,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,34,1,14k gold,Moonstone,48,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-48,,,,,,
J-MOONSTONE-RING-50,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 50,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,29,1,14k gold,Moonstone,50,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-50,,,,,,
J-MOONSTONE-RING-52,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 52,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,45,1,14k gold,Moonstone,52,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-52,,,,,,
J-MOONSTONE-RING-54,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 54,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,19,1,14k gold,Moonstone,54,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-54,,,,,,
J-MOONSTONE-RING-56,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 56,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,42,1,14k gold,Moonstone,56,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-56,,,,,,
J-MOONSTONE-RING-58,Jewelry,simple,jewelry,Jewelry,,Moonstone ring 58,140,,1,1,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,39,1,14k gold,Moonstone,58,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring-58,,,,,,
J-MOONSTONE-RING,Jewelry,configurable,jewelry,Jewelry,Rings,Moonstone ring,140,,1,4,2,0.1,A rainbow moonstone in a low bezel on a thin gold band. The stone shows a blue flash in daylight. Set in 14 karat recycled gold.,A rainbow moonstone in a low bezel on a thin gold band.,0,1,14k gold,Moonstone,,Gold,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,j-moonstone-ring.webp,moonstone-ring,J-MOONSTONE-RING-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-MOONSTONE-RING-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-MOONSTONE-RING-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-MOONSTONE-RING-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-MOONSTONE-RING-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-MOONSTONE-RING-58,size,58,,,
J-SAPPHIRE-RING-48,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 48,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,34,1,14k gold,Sapphire,48,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-48,,,,,,
J-SAPPHIRE-RING-50,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 50,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,33,1,14k gold,Sapphire,50,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-50,,,,,,
J-SAPPHIRE-RING-52,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 52,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,42,1,14k gold,Sapphire,52,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-52,,,,,,
J-SAPPHIRE-RING-54,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 54,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,55,1,14k gold,Sapphire,54,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-54,,,,,,
J-SAPPHIRE-RING-56,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 56,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,39,1,14k gold,Sapphire,56,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-56,,,,,,
J-SAPPHIRE-RING-58,Jewelry,simple,jewelry,Jewelry,,Sapphire stacking ring 58,220,,1,1,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,16,1,14k gold,Sapphire,58,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring-58,,,,,,
J-SAPPHIRE-RING,Jewelry,configurable,jewelry,Jewelry,Rings,Sapphire stacking ring,220,,1,4,2,0.1,"Three tiny blue sapphires set flush in a slim gold band. The stones sit flush with the band, so nothing catches. 14 karat recycled gold.",Three tiny blue sapphires set flush in a slim gold band.,0,1,14k gold,Sapphire,,Gold,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,j-sapphire-ring.webp,sapphire-stacking-ring,J-SAPPHIRE-RING-48,size,48,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SAPPHIRE-RING-50,size,50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SAPPHIRE-RING-52,size,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SAPPHIRE-RING-54,size,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SAPPHIRE-RING-56,size,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,J-SAPPHIRE-RING-58,size,58,,,
J-ONYX-RING-48,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 48,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,46,1,Sterling silver,Onyx,48,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-48,,,,,,
J-ONYX-RING-50,Jewelry,simple,jewelry,Jewelry,,Onyx dome ring 50,110,,1,1,2,0.1,A black onyx cabochon in a silver dome setting. The cabochon is 10 mm across and the dome sits low on the finger. Sterling silver.,A black onyx cabochon in a silver dome setting.,47,1,Sterling silver,Onyx,50,Silver,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,j-onyx-ring.webp,onyx-dome-ring-50,,,,,,
